player_id,player_name,position,PP_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P1a_weighted,rank
8479407,Jesper Bratt,L,710.78,511,43.1355,41.0729,45.0308,477,40.2654,38.1305,42.2656,988,83.4009,59.7676,60.0,7.8068,62
8476887,Filip Forsberg,L,637.57,445,41.878,39.6452,43.912,533,50.1595,48.2795,51.7303,978,92.0374,59.7652,60.0,7.8047,63
8482740,Wyatt Johnston,C,555.07,380,41.0761,38.6922,43.3176,364,39.3466,36.9228,41.6513,744,80.4228,59.6918,60.0,7.7287,64
8479339,Patrik Laine,L,288.8,183,38.0194,34.5747,41.2017,290,60.2493,59.2156,60.0,473,98.2687,59.5166,60.0,7.7053,65
8482116,Tim Stützle,C,855.03,597,41.8931,39.9988,43.6843,599,42.0334,40.1426,43.8199,1196,83.9266,59.8079,60.0,7.6482,66
8475765,Vladimir Tarasenko,R,539.28,346,38.4955,36.0348,40.8762,448,49.8439,47.8335,51.6255,794,88.3395,59.7111,60.0,7.6188,67
8478414,Timo Meier,R,517.43,353,40.9328,38.4867,43.2857,367,42.5562,40.1586,44.8394,720,83.489,59.6816,60.0,7.5934,68
8473419,Brad Marchand,L,782.15,537,41.1941,39.2007,43.0939,566,43.4188,41.4846,45.2383,1103,84.6129,59.7918,60.0,7.5798,69
8477940,Nikolaj Ehlers,L,480.28,328,40.9758,38.4241,43.4012,360,44.9735,42.5628,47.199,688,85.9493,59.6668,60.0,7.5502,70
8481540,Cole Caufield,R,566.37,423,44.812,42.5979,46.884,449,47.5664,45.4801,49.477,872,92.3783,59.7368,60.0,7.4602,71
8470638,Patrice Bergeron,C,362.82,219,36.2166,33.129,39.1379,282,46.6351,43.8753,48.9999,501,82.8518,59.5434,60.0,7.4542,72
8478493,Joel Eriksson Ek,C,839.97,581,41.5016,39.5774,43.3179,566,40.4302,38.4826,42.2796,1147,81.9318,59.7997,60.0,7.4248,73
8482078,Lucas Raymond,L,684.5,512,44.8795,42.8818,46.7762,457,40.0584,37.9192,42.1436,969,84.9379,59.7631,60.0,7.4131,74
8484144,Connor Bedard,C,324.62,224,41.4027,38.2169,44.2255,228,42.142,38.9802,44.9219,452,83.5447,59.4944,60.0,7.3922,75
8476881,Tomas Hertl,C,696.95,447,38.482,36.3017,40.5638,478,41.1507,39.0237,43.1496,925,79.6327,59.7518,60.0,7.3719,76
8480012,Elias Pettersson,C,821.22,478,34.9238,32.8904,36.9296,587,42.8876,40.9894,44.6882,1065,77.8114,59.7843,60.0,7.3611,77
8476459,Mika Zibanejad,C,988.42,656,39.8213,38.0357,41.5642,732,44.4347,42.7604,46.0345,1388,84.256,59.8344,60.0,7.3542,78
8477416,Oliver Bjorkstrand,R,517.55,303,35.127,32.5221,37.5959,417,48.3432,46.1224,50.2104,720,83.4702,59.6816,60.0,7.3317,79
8482679,Matt Coronato,R,220.28,143,38.9498,35.0933,42.5978,155,42.2184,38.4697,45.6545,298,81.1682,59.2364,60.0,7.3197,80
8476389,Vincent Trocheck,C,926.0,600,38.8769,36.9979,40.6825,659,42.6998,40.8995,44.3951,1259,81.5767,59.8175,60.0,7.2986,81
8474161,Jakub Voracek,R,141.35,63,26.7421,22.0344,31.7519,145,61.5493,58.4514,60.0,208,88.2915,58.9119,60.0,7.2673,82
8480064,Josh Norris,C,484.08,321,39.7865,37.1987,42.2338,329,40.7781,38.2145,43.1858,650,80.5646,59.6475,60.0,7.2459,83
8479385,Jordan Kyrou,C,550.27,295,32.1662,29.6747,34.6586,453,49.3942,47.3742,51.1928,748,81.5605,59.6934,60.0,7.2428,84
8481716,Dmitri Voronkov,L,225.68,149,39.613,35.7179,43.0776,163,43.3351,39.5672,46.5377,312,82.9481,59.2702,60.0,7.2318,85
8483515,Juraj Slafkovský,L,407.33,298,43.8953,41.2284,46.3734,311,45.8101,43.2319,48.1671,609,89.7054,59.6239,60.0,7.1862,86
8475794,Tyler Seguin,C,473.02,299,37.9268,35.2665,40.462,307,38.9415,36.2996,41.4422,606,76.8683,59.622,60.0,7.1762,87
8475314,Anders Lee,L,521.4,331,38.0898,35.588,40.5311,334,38.435,35.9394,40.8657,665,76.5247,59.6554,60.0,7.1529,88
8482713,Mackie Samoskevich,R,160.25,115,43.0577,38.675,46.9595,105,39.3136,34.786,43.5244,220,82.3713,58.9703,60.0,7.1368,89
8482093,Seth Jarvis,C,679.73,454,40.0745,37.8832,42.1214,469,41.3986,39.237,43.3998,923,81.4731,59.7513,60.0,7.1305,90
8479400,Pierre-Luc Dubois,L,616.87,382,37.1555,34.8109,39.3956,488,47.4657,45.4251,49.2697,870,84.6212,59.7362,60.0,7.1211,91
8478975,Mason Marchment,L,433.77,280,38.7305,35.9431,41.3234,268,37.0706,34.2568,39.7209,548,75.8011,59.5823,60.0,7.1045,92
8482222,Alexander Barabanov,L,259.8,163,37.6443,34.0013,41.0077,163,37.6443,34.0013,41.0077,326,75.2887,59.3012,60.0,7.0848,93
8477941,Nick Ritchie,L,160.57,95,35.4993,30.7712,39.7844,110,41.1044,36.4687,45.0065,205,76.6037,58.8963,60.0,7.0469,94
8478398,Kyle Connor,L,825.18,511,37.1554,35.1468,39.114,620,45.0809,43.2544,46.7875,1131,82.2363,59.7969,60.0,7.044,95
8475722,Jason Zucker,L,408.25,255,37.477,34.6237,40.2363,331,48.6467,46.2281,50.7764,586,86.1237,59.6092,60.0,7.0187,96
8480893,Kirill Marchenko,R,428.83,258,36.0979,33.2619,38.798,337,47.1512,44.6558,49.3058,595,83.2491,59.6151,60.0,7.0106,97
8476456,Jonathan Huberdeau,C,713.6,413,34.7253,32.5131,36.8483,489,41.1155,38.9931,43.073,902,75.8408,59.7455,60.0,6.9924,98
8477479,Tyler Bertuzzi,L,510.85,349,40.9905,38.4835,43.3096,332,38.9938,36.4419,41.3888,681,79.9843,59.6634,60.0,6.9839,99
8474037,James van Riemsdyk,L,422.95,289,40.9978,38.244,43.5439,231,32.7698,29.907,35.5751,520,73.7676,59.56,60.0,6.9737,100
8477500,Bo Horvat,C,785.67,458,34.9767,32.8742,37.0012,541,41.3152,39.3038,43.1817,999,76.2919,59.7702,60.0,6.9659,101
8474157,Max Pacioretty,L,179.12,119,39.8623,35.5698,43.7913,114,38.1874,33.8538,42.2257,233,78.0497,59.0268,60.0,6.9463,102
8478427,Sebastian Aho,C,889.8,539,36.3452,34.3873,38.2324,650,43.8301,42.0142,45.5075,1189,80.1753,59.8068,60.0,6.9435,103
