player_id,position,toi_total_sec,toi_ES_sec,toi_PP_sec,toi_PK_sec,toi_total_min
8476981,F,319002.0,269732.0,31078.0,18192.0,5316.7
8476982,F,3017.0,2970.0,42.0,5.0,50.28
8476983,D,767.0,615.0,97.0,55.0,12.78
8476988,D,175923.0,147977.0,18707.0,9239.0,2932.05
8476989,D,7590.0,7008.0,503.0,79.0,126.5
8476994,F,134473.0,121747.0,8343.0,4383.0,2241.22
8476999,G,708600.0,591303.0,76406.0,40891.0,11810.0
8477003,F,2026.0,1852.0,174.0,0.0,33.77
8477015,F,250153.0,207783.0,27964.0,14406.0,4169.22
8477018,D,155244.0,142404.0,8120.0,4720.0,2587.4
8477021,F,324105.0,269824.0,36297.0,17984.0,5401.75
8477034,D,162835.0,143760.0,12325.0,6750.0,2713.92
8477035,G,21313.0,16513.0,3197.0,1603.0,355.22
8477070,F,132592.0,120268.0,9091.0,3233.0,2209.87
8477073,D,72948.0,69252.0,2430.0,1266.0,1215.8
8477126,F,46196.0,40580.0,3935.0,1681.0,769.93
8477149,F,16537.0,15825.0,674.0,38.0,275.62
8477180,G,45753.0,37719.0,5054.0,2980.0,762.55
8477202,G,34720.0,29335.0,3523.0,1862.0,578.67
8477205,D,33569.0,30387.0,2450.0,732.0,559.48
8477210,F,24112.0,22218.0,1124.0,770.0,401.87
8477215,D,65348.0,57364.0,5308.0,2676.0,1089.13
8477220,D,365066.0,307861.0,37516.0,19689.0,6084.43
8477240,F,16634.0,15369.0,814.0,451.0,277.23
8477244,D,158030.0,136795.0,13036.0,8199.0,2633.83
8477290,F,66186.0,56905.0,6267.0,3014.0,1103.1
8477293,G,258200.0,214048.0,28041.0,16111.0,4303.33
8477320,F,27099.0,24239.0,2096.0,764.0,451.65
8477330,F,193697.0,163423.0,19479.0,10795.0,3228.28
8477335,D,180781.0,160648.0,13044.0,7089.0,3013.02
8477341,F,72364.0,64493.0,5109.0,2762.0,1206.07
8477343,D,1493.0,1328.0,75.0,90.0,24.88
8477346,D,501940.0,422410.0,50688.0,28842.0,8365.67
8477353,F,181417.0,152853.0,18198.0,10366.0,3023.62
8477355,D,38186.0,35178.0,2137.0,871.0,636.43
8477357,F,39675.0,33300.0,4125.0,2250.0,661.25
8477359,D,43316.0,37985.0,3707.0,1624.0,721.93
8477361,G,178266.0,149686.0,17168.0,11412.0,2971.1
8477365,D,322383.0,279826.0,28954.0,13603.0,5373.05
8477369,D,309757.0,266762.0,28350.0,14645.0,5162.62
8477380,F,118647.0,106296.0,7943.0,4408.0,1977.45
8477384,D,161089.0,136092.0,16883.0,8114.0,2684.82
8477392,F,100915.0,95408.0,4081.0,1426.0,1681.92
8477401,F,50741.0,46355.0,2925.0,1461.0,845.68
8477402,F,382486.0,318036.0,40948.0,23502.0,6374.77
8477404,F,419533.0,345773.0,46553.0,27207.0,6992.22
8477405,G,35845.0,31530.0,3040.0,1275.0,597.42
