season,team,state,zone,for_att,for_gl,ag_att,ag_gl
20232024,FLA,PK,FNFI,6,0,3,0
20232024,FLA,PK,Wide,94,1,68,1
20232024,FLA,PK,lane_other,160,0,231,0
20232024,FLA,PK,unk,0,0,0,0
20232024,BOS,ES,CNFI,590,91,544,59
20232024,BOS,ES,MNFI,365,41,374,30
20232024,BOS,ES,FNFI,255,12,274,8
20232024,BOS,ES,Wide,1579,24,1809,30
20232024,BOS,ES,lane_other,1007,11,887,11
20232024,BOS,ES,unk,0,0,0,0
20232024,BOS,PP,CNFI,158,24,130,23
20232024,BOS,PP,MNFI,69,8,86,8
20232024,BOS,PP,FNFI,61,5,78,2
20232024,BOS,PP,Wide,210,11,185,6
20232024,BOS,PP,lane_other,25,5,35,5
20232024,BOS,PP,unk,0,0,0,0
20232024,BOS,PK,CNFI,15,5,24,3
20232024,BOS,PK,MNFI,12,0,14,2
20232024,BOS,PK,FNFI,5,0,5,0
20232024,BOS,PK,Wide,70,0,60,0
20232024,BOS,PK,lane_other,173,1,162,0
20232024,BOS,PK,unk,0,0,0,0
20242025,NSH,ES,CNFI,523,61,493,57
20242025,NSH,ES,MNFI,340,21,351,44
20242025,NSH,ES,FNFI,290,5,236,14
20242025,NSH,ES,Wide,1583,27,1680,43
20242025,NSH,ES,lane_other,916,11,983,18
20242025,NSH,ES,unk,0,0,0,0
20242025,NSH,PP,CNFI,99,14,130,19
20242025,NSH,PP,MNFI,73,9,68,7
20242025,NSH,PP,FNFI,76,3,57,3
20242025,NSH,PP,Wide,216,18,144,8
20242025,NSH,PP,lane_other,36,1,28,4
20242025,NSH,PP,unk,0,0,0,0
20242025,NSH,PK,CNFI,9,0,8,1
20242025,NSH,PK,MNFI,11,1,11,2
20242025,NSH,PK,FNFI,5,0,6,0
20242025,NSH,PK,Wide,56,0,48,0
20242025,NSH,PK,lane_other,131,0,160,0
20242025,NSH,PK,unk,0,0,0,0
20242025,PHI,ES,CNFI,551,72,454,75
20242025,PHI,ES,MNFI,359,28,368,53
20242025,PHI,ES,FNFI,253,12,258,12
20242025,PHI,ES,Wide,1676,35,1689,40
20242025,PHI,ES,lane_other,1106,13,861,16
20242025,PHI,ES,unk,0,0,0,0
20242025,PHI,PP,CNFI,82,13,87,17
20242025,PHI,PP,MNFI,60,5,65,5
20242025,PHI,PP,FNFI,46,2,55,5
20242025,PHI,PP,Wide,134,7,133,9
20242025,PHI,PP,lane_other,29,1,32,2
20242025,PHI,PP,unk,0,0,0,0
20242025,PHI,PK,CNFI,17,1,12,3
20242025,PHI,PK,MNFI,11,0,26,4
20242025,PHI,PK,FNFI,2,0,3,0
20242025,PHI,PK,Wide,44,1,51,0
20242025,PHI,PK,lane_other,139,1,137,1
20242025,PHI,PK,unk,0,0,0,0
20242025,WPG,ES,CNFI,563,78,476,51
20242025,WPG,ES,MNFI,343,35,356,27
20242025,WPG,ES,FNFI,282,13,311,10
20242025,WPG,ES,Wide,1829,27,1781,24
20242025,WPG,ES,lane_other,899,11,842,6
20242025,WPG,ES,unk,0,0,0,0
20242025,WPG,PP,CNFI,111,22,104,13
20242025,WPG,PP,MNFI,80,13,50,10
20242025,WPG,PP,FNFI,51,4,63,4
20242025,WPG,PP,Wide,167,19,170,9
20242025,WPG,PP,lane_other,24,2,24,3
20242025,WPG,PP,unk,0,0,0,0
20242025,WPG,PK,CNFI,13,1,3,1
20242025,WPG,PK,MNFI,4,0,10,2
20242025,WPG,PK,FNFI,3,0,3,0
20242025,WPG,PK,Wide,49,0,52,0
20242025,WPG,PK,lane_other,139,0,119,0
20242025,WPG,PK,unk,0,0,0,0
20242025,UTA,ES,CNFI,515,66,433,67
20242025,UTA,ES,MNFI,367,32,353,37
20242025,UTA,ES,FNFI,344,14,265,8
20242025,UTA,ES,Wide,1746,28,1705,31
20242025,UTA,ES,lane_other,911,9,949,8
20242025,UTA,ES,unk,0,0,0,0
20242025,UTA,PP,CNFI,93,17,139,18
20242025,UTA,PP,MNFI,69,10,71,8
20242025,UTA,PP,FNFI,62,3,67,0
