season,team,conference,gp,points,points_pct,wins,goal_diff,goal_diff_per_game,TNFI_pct,NFI_composite,F_top6_twoway,F_band,D_top4_twoway,D_band,starter_goalie_name,starter_NFI_GSAx_per60,g_high,archetype_q,arche_g_q,made_playoffs,round1_win,round2_win,cf_win,cup_win,conf_rank,contender_top4_conf
20222023,VGK,W,82,111,0.6768,51,43,0.524390243902439,0.5314389359129383,24.089760993033348,0.507893311059365,Middle,0.7757193218667425,Middle,Logan Thompson,0.17,True,MIDDLE,MIDDLE_Ghi,True,True,True,True,True,1,True
20222023,WPG,W,82,95,0.5793,46,22,0.2682926829268293,0.5022751137556878,9.401727714764824,0.2512573097169265,Middle,0.471877265532494,Middle,Connor Hellebuyck,0.22,True,MIDDLE,MIDDLE_Ghi,True,False,False,False,False,8,False
20222023,WSH,E,82,80,0.4878,35,-10,-0.1219512195121951,0.4762971257932064,-4.914901768741117,-0.1055158130174364,Low,0.2498281747806119,Middle,Darcy Kuemper,0.08,True,MIDDLE,MIDDLE_Ghi,False,False,False,False,False,12,False
20232024,ANA,W,82,59,0.3598,27,-91,-1.1097560975609757,0.4387402933563417,-17.14083850758323,-1.4979125158644964,Low,-0.4748501827405939,Low,John Gibson,-0.01,False,D_LowF_LowD,D_LowF_LowD_Glo,False,False,False,False,False,14,False
20232024,ARI,W,82,77,0.4695,36,-18,-0.2195121951219512,0.4885204081632653,-4.221956131356554,0.2321594771096704,Middle,0.5078697215926156,Middle,Connor Ingram,0.01,True,MIDDLE,MIDDLE_Ghi,False,False,False,False,False,13,False
20232024,BOS,E,82,109,0.6646,47,43,0.524390243902439,0.5031124130355181,12.954763621697584,0.912644935841288,Middle,1.018174328506274,Middle,Jeremy Swayman,0.21,True,MIDDLE,MIDDLE_Ghi,True,True,False,False,False,4,True
20232024,BUF,E,82,84,0.5122,39,2,0.024390243902439,0.5,-0.6813674721153418,0.0244284689080599,Middle,0.0116826927995248,Middle,Ukko-Pekka Luukkonen,-0.11,False,MIDDLE,MIDDLE_Glo,False,False,False,False,False,12,False
20232024,CAR,E,82,111,0.6768,52,63,0.7682926829268293,0.5574516496018203,12.715727022401923,2.0232517182177827,High,1.8348453281094776,High,Pyotr Kochetkov,-0.05,False,A_HighF_HighD,A_HighF_HighD_Glo,True,True,False,False,False,2,True
20232024,CBJ,E,82,66,0.4024,27,-63,-0.7682926829268293,0.4510655090765588,-16.63173428605929,-0.3933697183155788,Low,0.3224622080158519,Middle,Elvis Merzlikins,-0.06,False,MIDDLE,MIDDLE_Glo,False,False,False,False,False,16,False
20232024,CGY,W,82,81,0.4939,38,-18,-0.2195121951219512,0.5056315366049879,-4.989248535403316,1.4274491674436087,High,1.5640825095925228,High,Jacob Markstrom,-0.0,True,A_HighF_HighD,A_HighF_HighD_Ghi,False,False,False,False,False,11,False
20232024,CHI,W,82,52,0.3171,23,-111,-1.353658536585366,0.4238768718801997,-20.842081773372055,-1.180863395307962,Low,-1.7418292726723246,Low,Petr Mrazek,-0.17,False,D_LowF_LowD,D_LowF_LowD_Glo,False,False,False,False,False,15,False
20232024,COL,W,82,107,0.6524,50,50,0.6097560975609756,0.5472088215024121,13.02049675664606,1.138872477764156,Middle,1.2572337980221455,High,Alexandar Georgiev,0.01,True,MIDDLE,MIDDLE_Ghi,True,True,False,False,False,4,True
20232024,DAL,W,82,113,0.689,52,64,0.7804878048780488,0.5485468956406869,18.220990085221587,1.4858046812553405,High,1.486027283494041,High,Jake Oettinger,0.03,True,A_HighF_HighD,A_HighF_HighD_Ghi,True,True,True,False,False,1,True
20232024,DET,E,82,91,0.5549,41,4,0.048780487804878,0.4475955610357583,-21.229317644408617,-0.3041720009689753,Low,-0.6885653237223938,Low,Alex Lyon,0.01,True,D_LowF_LowD,D_LowF_LowD_Ghi,False,False,False,False,False,8,False
20232024,EDM,W,82,104,0.6341,49,57,0.6951219512195121,0.5581177937052041,22.916611183594373,1.7616933368865777,High,1.8917525077658237,High,Stuart Skinner,-0.11,False,A_HighF_HighD,A_HighF_HighD_Glo,True,True,True,True,False,5,False
20232024,FLA,E,82,110,0.6707,52,68,0.8292682926829268,0.5325903411009794,24.003836838095825,1.7598012383835064,High,0.4919229298975582,Middle,Sergei Bobrovsky,0.13,True,MIDDLE,MIDDLE_Ghi,True,True,True,True,True,3,True
20232024,LAK,W,82,99,0.6037,44,41,0.5,0.5220618556701031,4.289281031698138,1.3680437198783426,High,0.7656565007927236,Middle,Cam Talbot,-0.07,False,MIDDLE,MIDDLE_Glo,True,False,False,False,False,6,False
20232024,MIN,W,82,87,0.5305,39,-12,-0.1463414634146341,0.4904401956425078,-6.673230958383163,1.327770237288974,High,0.7547667117918702,Middle,Filip Gustavsson,-0.01,False,MIDDLE,MIDDLE_Glo,False,False,False,False,False,10,False
20232024,MTL,E,82,76,0.4634,30,-53,-0.6463414634146342,0.4520388349514563,-9.594482084337145,-0.5644324949243509,Low,-0.8901925254362116,Low,Samuel Montembeault,-0.1,False,D_LowF_LowD,D_LowF_LowD_Glo,False,False,False,False,False,15,False
20232024,NJD,E,82,81,0.4939,38,-19,-0.2317073170731707,0.5050377833753149,-5.634451916477433,1.7234073798364633,High,0.4471288691195906,Middle,Vitek Vanecek,-0.19,False,MIDDLE,MIDDLE_Glo,False,False,False,False,False,13,False
20232024,NSH,W,82,99,0.6037,47,21,0.2560975609756097,0.5411899313501144,14.275517736983026,0.5877871726979823,Middle,0.6171371209664875,Middle,Juuse Saros,0.07,True,MIDDLE,MIDDLE_Ghi,True,False,False,False,False,6,False
20232024,NYI,E,82,94,0.5732,39,-17,-0.2073170731707317,0.4895477004941087,2.713018287114183,0.3221824080780565,Middle,-0.2506521889949996,Low,Ilya Sorokin,0.34,True,MIDDLE,MIDDLE_Ghi,True,False,False,False,False,7,False
20232024,NYR,E,82,114,0.6951,55,53,0.6463414634146342,0.4919160646714826,-2.611259012304126,-0.2420767145256682,Low,-0.2860405994758463,Low,Igor Shesterkin,0.37,True,D_LowF_LowD,D_LowF_LowD_Ghi,True,True,True,False,False,1,True
20232024,OTT,E,82,78,0.4756,37,-26,-0.3170731707317073,0.4941763727121464,-13.559056428744462,1.171583647547789,Middle,0.6158232141927628,Middle,Joonas Korpisalo,-0.05,False,MIDDLE,MIDDLE_Glo,False,False,False,False,False,14,False
20232024,PHI,E,82,87,0.5305,38,-26,-0.3170731707317073,0.5264756944444444,-10.60184021497218,0.9428592179360898,Middle,1.2920307953113928,High,Samuel Ersson,-0.37,False,MIDDLE,MIDDLE_Glo,False,False,False,False,False,11,False
20232024,PIT,E,82,88,0.5366,38,4,0.048780487804878,0.5049019607843137,1.270224281780059,0.9709197260331712,Middle,0.9135340709662764,Middle,Tristan Jarry,0.0,True,MIDDLE,MIDDLE_Ghi,False,False,False,False,False,10,False
20232024,SEA,W,82,81,0.4939,34,-19,-0.2317073170731707,0.509465713083719,2.410590033784655,0.5717387152306966,Middle,0.0888980134349284,Middle,Joey Daccord,-0.04,False,MIDDLE,MIDDLE_Glo,False,False,False,False,False,11,False
20232024,SJS,W,82,47,0.2866,19,-150,-1.829268292682927,0.4133653461384554,-25.891575277816465,-0.7352147199932175,Low,-0.980159609357006,Low,Mackenzie Blackwood,-0.01,False,D_LowF_LowD,D_LowF_LowD_Glo,False,False,False,False,False,16,False
20232024,STL,W,82,92,0.561,43,-11,-0.1341463414634146,0.4525458248472505,-14.525041456072548,-0.3250709085561931,Low,-1.1614194381545713,Low,Jordan Binnington,0.06,True,D_LowF_LowD,D_LowF_LowD_Ghi,False,False,False,False,False,9,False
20232024,TBL,E,82,98,0.5976,45,23,0.2804878048780488,0.5211323763955343,-4.828530947527317,1.080767735962194,Middle,1.0520061877285247,High,Andrei Vasilevskiy,0.25,True,MIDDLE,MIDDLE_Ghi,True,False,False,False,False,6,False
20232024,TOR,E,82,102,0.622,46,40,0.4878048780487805,0.5160928143712575,7.966698049364981,1.2447216864131996,Middle,0.0618870918326568,Middle,Ilya Samsonov,-0.01,False,MIDDLE,MIDDLE_Glo,True,False,False,False,False,5,False
20232024,VAN,W,82,109,0.6646,50,56,0.6829268292682927,0.5344827586206896,15.5308071249048,0.370849996698213,Middle,0.7490900806814996,Middle,Thatcher Demko,0.26,True,MIDDLE,MIDDLE_Ghi,True,True,False,False,False,3,True
20232024,VGK,W,82,98,0.5976,45,22,0.2682926829268293,0.5109996140486299,5.526110826102534,0.6644355181257919,Middle,1.100332458312429,High,Logan Thompson,0.17,True,MIDDLE,MIDDLE_Ghi,True,False,False,False,False,8,False
20232024,WPG,W,82,110,0.6707,52,60,0.7317073170731707,0.5062809288161401,13.00103855133182,0.5138233330819516,Middle,0.471877265532494,Middle,Connor Hellebuyck,0.22,True,MIDDLE,MIDDLE_Ghi,True,False,False,False,False,2,True
20232024,WSH,E,82,91,0.5549,40,-37,-0.4512195121951219,0.4605628220372572,-14.958480394419944,-0.017324459033097,Middle,0.5098863377440053,Middle,Charlie Lindgren,-0.19,False,MIDDLE,MIDDLE_Glo,True,False,False,False,False,8,False
20242025,ANA,W,82,80,0.4878,35,-42,-0.5121951219512195,0.4392452830188679,-15.46716231590192,-1.2850281468972533,Low,-0.2402655036901018,Low,Lukas Dostal,-0.05,False,D_LowF_LowD,D_LowF_LowD_Glo,False,False,False,False,False,12,False
20242025,BOS,E,82,76,0.4634,33,-50,-0.6097560975609756,0.4698314108251996,-8.755371159783202,0.8280671000218943,Middle,-0.2097716226292685,Low,Jeremy Swayman,0.21,True,MIDDLE,MIDDLE_Ghi,False,False,False,False,False,15,False
20242025,BUF,E,82,79,0.4817,36,-20,-0.2439024390243902,0.4885339885339885,-13.465453398018829,0.1804269684540266,Middle,-0.1937688635501228,Middle,Ukko-Pekka Luukkonen,-0.11,False,MIDDLE,MIDDLE_Glo,False,False,False,False,False,14,False
20242025,CAR,E,82,99,0.6037,47,33,0.4024390243902439,0.5418839068474105,12.34295108411253,2.415734416777808,High,2.0871970259531527,High,Pyotr Kochetkov,-0.05,False,A_HighF_HighD,A_HighF_HighD_Glo,True,True,True,False,False,4,True
20242025,CBJ,E,82,89,0.5427,40,5,0.0609756097560975,0.4728712871287128,-5.506890329214382,-0.2444325483601957,Low,0.6877820826396691,Middle,Elvis Merzlikins,-0.06,False,MIDDLE,MIDDLE_Glo,False,False,False,False,False,9,False
20242025,CGY,W,82,96,0.5854,41,-13,-0.1585365853658536,0.5106106539627544,0.4435369417649717,1.0234285718356275,Middle,0.8439813091263781,Middle,Dustin Wolf,-0.16,False,MIDDLE,MIDDLE_Glo,False,False,False,False,False,8,False
