goalie_id,zone,shot_type,attempts,goals,save_pct,goalie_name,L_save_pct,L_att,L_goals,z_vs_league,delta_sv_pct,signif
8476999,CNFI,backhand,280,39,0.8607,Linus Ullmark,0.8322,13408,2250,1.28,2.85,False
8476999,CNFI,tip-in,255,39,0.8471,Linus Ullmark,0.827,14699,2543,0.85,2.01,False
8476999,CNFI,wrist,515,96,0.8136,Linus Ullmark,0.8052,27362,5329,0.48,0.84,False
8476999,MNFI,wrist,516,71,0.8624,Linus Ullmark,0.8542,24932,3636,0.53,0.82,False
8480313,CNFI,backhand,250,33,0.868,Logan Thompson,0.8322,13408,2250,1.52,3.58,False
8480313,CNFI,snap,202,43,0.7871,Logan Thompson,0.7519,7095,1760,1.16,3.52,False
8480313,CNFI,tip-in,256,49,0.8086,Logan Thompson,0.827,14699,2543,-0.78,-1.84,False
8480313,CNFI,wrist,403,73,0.8189,Logan Thompson,0.8052,27362,5329,0.69,1.36,False
8480313,MNFI,snap,252,39,0.8452,Logan Thompson,0.8073,11549,2226,1.53,3.8,False
8480313,MNFI,wrist,330,45,0.8636,Logan Thompson,0.8542,24932,3636,0.49,0.95,False
8480843,CNFI,backhand,220,44,0.8,Lukas Dostal,0.8322,13408,2250,-1.28,-3.22,False
8480843,CNFI,tip-in,305,65,0.7869,Lukas Dostal,0.827,14699,2543,-1.85,-4.01,False
8480843,CNFI,wrist,354,67,0.8107,Lukas Dostal,0.8052,27362,5329,0.26,0.55,False
8480843,MNFI,snap,230,49,0.787,Lukas Dostal,0.8073,11549,2226,-0.78,-2.03,False
8480843,MNFI,wrist,283,30,0.894,Lukas Dostal,0.8542,24932,3636,1.9,3.98,False
8478406,CNFI,backhand,223,38,0.8296,Mackenzie Blackwood,0.8322,13408,2250,-0.1,-0.26,False
8478406,CNFI,tip-in,229,41,0.821,Mackenzie Blackwood,0.827,14699,2543,-0.24,-0.6,False
8478406,CNFI,wrist,395,86,0.7823,Mackenzie Blackwood,0.8052,27362,5329,-1.15,-2.3,False
8478406,MNFI,wrist,405,53,0.8691,Mackenzie Blackwood,0.8542,24932,3636,0.85,1.5,False
8470594,CNFI,backhand,203,33,0.8374,Marc-Andre Fleury,0.8322,13408,2250,0.2,0.52,False
8470594,CNFI,wrist,387,76,0.8036,Marc-Andre Fleury,0.8052,27362,5329,-0.08,-0.16,False
8470594,MNFI,wrist,424,55,0.8703,Marc-Andre Fleury,0.8542,24932,3636,0.94,1.61,False
8474889,CNFI,wrist,256,53,0.793,Martin Jones,0.8052,27362,5329,-0.5,-1.23,False
8474889,MNFI,wrist,238,32,0.8655,Martin Jones,0.8542,24932,3636,0.5,1.14,False
8475852,CNFI,tip-in,233,50,0.7854,Petr Mrazek,0.827,14699,2543,-1.68,-4.16,False
8475852,CNFI,wrist,441,95,0.7846,Petr Mrazek,0.8052,27362,5329,-1.1,-2.07,False
8475852,MNFI,wrist,362,58,0.8398,Petr Mrazek,0.8542,24932,3636,-0.78,-1.44,False
8475831,CNFI,tip-in,213,36,0.831,Philipp Grubauer,0.827,14699,2543,0.15,0.4,False
8475831,CNFI,wrist,452,111,0.7544,Philipp Grubauer,0.8052,27362,5329,-2.73,-5.08,True
8475831,MNFI,wrist,404,79,0.8045,Philipp Grubauer,0.8542,24932,3636,-2.83,-4.97,True
8481611,CNFI,wrist,250,37,0.852,Pyotr Kochetkov,0.8052,27362,5329,1.87,4.68,False
8481611,MNFI,wrist,229,36,0.8428,Pyotr Kochetkov,0.8542,24932,3636,-0.49,-1.14,False
8481035,CNFI,wrist,249,46,0.8153,Samuel Ersson,0.8052,27362,5329,0.4,1.0,False
8481035,MNFI,wrist,228,49,0.7851,Samuel Ersson,0.8542,24932,3636,-2.96,-6.91,True
8478470,CNFI,backhand,254,31,0.878,Samuel Montembeault,0.8322,13408,2250,1.95,4.58,False
8478470,CNFI,snap,262,68,0.7405,Samuel Montembeault,0.7519,7095,1760,-0.43,-1.15,False
8478470,CNFI,tip-in,242,41,0.8306,Samuel Montembeault,0.827,14699,2543,0.15,0.36,False
8478470,CNFI,wrist,462,93,0.7987,Samuel Montembeault,0.8052,27362,5329,-0.35,-0.65,False
8478470,MNFI,snap,256,52,0.7969,Samuel Montembeault,0.8073,11549,2226,-0.42,-1.04,False
8478470,MNFI,wrist,393,65,0.8346,Samuel Montembeault,0.8542,24932,3636,-1.1,-1.96,False
8475809,CNFI,backhand,200,34,0.83,Scott Wedgewood,0.8322,13408,2250,-0.08,-0.22,False
8475809,CNFI,wrist,332,66,0.8012,Scott Wedgewood,0.8052,27362,5329,-0.19,-0.4,False
8475809,MNFI,wrist,282,30,0.8936,Scott Wedgewood,0.8542,24932,3636,1.88,3.95,False
8473575,CNFI,wrist,218,38,0.8257,Semyon Varlamov,0.8052,27362,5329,0.76,2.04,False
8473575,MNFI,wrist,270,35,0.8704,Semyon Varlamov,0.8542,24932,3636,0.75,1.62,False
8475683,CNFI,backhand,378,88,0.7672,Sergei Bobrovsky,0.8322,13408,2250,-3.38,-6.5,True
8475683,CNFI,tip-in,453,77,0.83,Sergei Bobrovsky,0.827,14699,2543,0.17,0.3,False
8475683,CNFI,wrist,725,141,0.8055,Sergei Bobrovsky,0.8052,27362,5329,0.02,0.03,False
8475683,MNFI,snap,316,57,0.8196,Sergei Bobrovsky,0.8073,11549,2226,0.56,1.24,False
8475683,MNFI,wrist,642,83,0.8707,Sergei Bobrovsky,0.8542,24932,3636,1.19,1.66,False
8481519,CNFI,wrist,354,66,0.8136,Spencer Knight,0.8052,27362,5329,0.4,0.83,False
8481519,MNFI,wrist,323,53,0.8359,Spencer Knight,0.8542,24932,3636,-0.93,-1.83,False
8479973,CNFI,backhand,278,54,0.8058,Stuart Skinner,0.8322,13408,2250,-1.18,-2.64,False
8479973,CNFI,tip-in,300,47,0.8433,Stuart Skinner,0.827,14699,2543,0.75,1.63,False
8479973,CNFI,wrist,527,117,0.778,Stuart Skinner,0.8052,27362,5329,-1.58,-2.73,False
8479973,MNFI,snap,405,79,0.8049,Stuart Skinner,0.8073,11549,2226,-0.12,-0.23,False
8479973,MNFI,wrist,420,62,0.8524,Stuart Skinner,0.8542,24932,3636,-0.1,-0.18,False
8477967,CNFI,tip-in,223,30,0.8655,Thatcher Demko,0.827,14699,2543,1.52,3.85,False
8477967,CNFI,wrist,498,93,0.8133,Thatcher Demko,0.8052,27362,5329,0.45,0.8,False
8477967,MNFI,wrist,423,57,0.8652,Thatcher Demko,0.8542,24932,3636,0.65,1.11,False
8477465,CNFI,backhand,255,43,0.8314,Tristan Jarry,0.8322,13408,2250,-0.03,-0.08,False
8477465,CNFI,tip-in,220,35,0.8409,Tristan Jarry,0.827,14699,2543,0.55,1.39,False
8477465,CNFI,wrist,591,138,0.7665,Tristan Jarry,0.8052,27362,5329,-2.38,-3.87,True
8477465,MNFI,snap,213,45,0.7887,Tristan Jarry,0.8073,11549,2226,-0.69,-1.85,False
8477465,MNFI,wrist,538,60,0.8885,Tristan Jarry,0.8542,24932,3636,2.25,3.43,True
8480045,CNFI,tip-in,253,47,0.8142,Ukko-Pekka Luukkonen,0.827,14699,2543,-0.54,-1.28,False
8480045,CNFI,wrist,425,88,0.7929,Ukko-Pekka Luukkonen,0.8052,27362,5329,-0.64,-1.23,False
8480045,MNFI,wrist,377,43,0.8859,Ukko-Pekka Luukkonen,0.8542,24932,3636,1.75,3.18,False
8478024,CNFI,tip-in,237,38,0.8397,Ville Husso,0.827,14699,2543,0.52,1.27,False
8478024,CNFI,wrist,351,61,0.8262,Ville Husso,0.8052,27362,5329,0.99,2.1,False
8478024,MNFI,wrist,367,60,0.8365,Ville Husso,0.8542,24932,3636,-0.96,-1.77,False
8477970,CNFI,backhand,200,45,0.775,Vitek Vanecek,0.8322,13408,2250,-2.16,-5.72,True
8477970,CNFI,wrist,329,80,0.7568,Vitek Vanecek,0.8052,27362,5329,-2.22,-4.84,True
8477970,MNFI,wrist,342,60,0.8246,Vitek Vanecek,0.8542,24932,3636,-1.55,-2.96,False
