player_id,player_name,position,PP_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,FNFI_n,FNFI_per60,FNFI_lo95,FNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P3_weighted,rank
8477934,Leon Draisaitl,C,915.88,578,37.8651,35.9561,39.6987,304,19.9152,18.1284,21.7811,281,18.4085,16.6658,20.2433,1163,76.1887,59.8025,60.0,7.8219,17
8478402,Connor McDavid,C,931.53,585,37.6798,35.7709,39.4881,315,20.2891,18.5,22.1377,280,18.0348,16.3119,19.8379,1180,76.0037,59.8053,60.0,7.8194,18
8476454,Ryan Nugent-Hopkins,C,885.5,558,37.8091,35.8503,39.6581,295,19.9887,18.1623,21.8791,274,18.5658,16.782,20.4275,1127,76.3636,59.7962,60.0,7.8165,19
8483808,Andrei Kuzmenko,L,392.8,219,33.4521,30.4694,36.3343,164,25.0509,22.1748,27.9976,130,19.8574,17.1664,22.7249,513,78.3605,59.554,60.0,7.8013,20
8477933,Sam Reinhart,C,917.12,590,38.5992,36.7116,40.4249,286,18.7108,16.9643,20.5562,324,21.1969,19.3835,23.0891,1200,78.5069,59.8085,60.0,7.7655,21
8477493,Aleksander Barkov,C,746.87,471,37.8381,35.7194,39.8631,240,19.2805,17.3271,21.3368,275,22.0923,20.0585,24.1991,986,79.2109,59.7671,60.0,7.7653,22
8477404,Jake Guentzel,C,775.88,459,35.495,33.3924,37.5329,276,21.3434,19.3665,23.3993,299,23.122,21.1027,25.2022,1034,79.9605,59.7779,60.0,7.7648,23
8478420,Mikko Rantanen,R,858.9,466,32.5533,30.5436,34.5327,353,24.6594,22.7105,26.6503,344,24.0307,22.0927,26.0164,1163,81.2435,59.8025,60.0,7.7165,24
8477409,Carter Verhaeghe,C,627.07,382,36.5511,34.2302,38.8,212,20.2849,18.1305,22.562,223,21.3374,19.1504,23.6345,817,78.1735,59.7192,60.0,7.6892,25
8480208,Drake Batherson,R,662.58,398,36.0407,33.7524,38.2144,242,21.9142,19.7542,24.1401,203,18.3826,16.338,20.5381,843,76.3376,59.7278,60.0,7.6642,26
8482702,Logan Stankoven,C,192.03,120,37.4935,33.2819,41.4238,66,20.6214,16.8134,24.8044,46,14.3725,11.0816,18.2814,232,72.4874,59.0227,60.0,7.5481,27
8478449,Roope Hintz,C,680.3,384,33.8674,31.6308,36.0903,256,22.5783,20.4506,24.8091,205,18.0803,16.0904,20.2199,845,74.5259,59.7285,60.0,7.4529,28
8471698,T.J. Oshie,R,267.72,141,31.6006,27.9835,35.1065,102,22.86,19.4725,26.4017,90,20.1706,16.917,23.6599,333,74.6311,59.3157,60.0,7.4148,29
8476453,Nikita Kucherov,R,793.8,407,30.7634,28.671,32.8331,300,22.6757,20.6864,24.7242,318,24.0363,22.0187,26.0992,1025,77.4754,59.776,60.0,7.4062,30
