goalie_id,goalie_name,total_faced,total_goals,toi_ES_min,spatial_save_pct,sv_lo,sv_hi,rank_spatial_savepct,NFI_GSAx_cumulative,rank_cumulative,NFI_GSAx_per60,rank_per60,rank_diff_per60_vs_cum,flag_gt20_shift,xG_calibrated,xG,NFI_GSAx,meets_4000min,rank_per60_4000min,rank_cumulative_4000min,tier,tier_label,rank_per60_tier2
8480045,Ukko-Pekka Luukkonen,1889.0,285.0,8424.15,0.8216,0.8012,0.8404,67.0,-15.09,80.0,-0.107,69.0,11.0,0,269.91,187.62,-97.38,1,49.0,53.0,1,Qualified,
8479973,Stuart Skinner,2604.0,391.0,9762.42,0.8265,0.8095,0.8424,56.0,-18.14,84.0,-0.111,70.0,14.0,0,372.86,259.07,-131.93,1,50.0,55.0,1,Qualified,
8482445,Devin Cooley,396.0,61.0,1089.07,0.8431,0.7996,0.8786,19.0,-2.24,52.0,-0.123,71.0,-19.0,0,58.76,40.95,-20.05,0,,,3,Insufficient Sample,
8478435,Dan Vladar,1373.0,205.0,6270.98,0.8301,0.8059,0.8518,44.0,-14.53,79.0,-0.139,72.0,7.0,0,190.47,131.87,-73.13,1,51.0,52.0,1,Qualified,
8480193,Daniil Tarasov,1049.0,160.0,4057.38,0.8221,0.7943,0.8468,66.0,-9.85,71.0,-0.146,73.0,-2.0,0,150.15,104.49,-55.51,1,52.0,46.0,1,Qualified,
8481692,Dustin Wolf,1179.0,185.0,5142.53,0.8146,0.7886,0.8381,79.0,-13.32,76.0,-0.155,74.0,2.0,0,171.68,119.4,-65.6,1,53.0,49.0,1,Qualified,
8474682,Dustin Tokarski,452.0,69.0,1855.0,0.815,0.7707,0.8524,77.0,-4.87,62.0,-0.158,75.0,-13.0,0,64.13,44.63,-24.37,0,,,3,Insufficient Sample,
8477484,Spencer Martin,717.0,111.0,3029.22,0.8188,0.7849,0.8484,72.0,-8.16,69.0,-0.162,76.0,-7.0,0,102.84,71.41,-39.59,0,,,2,Small Sample,15.0
8475852,Petr Mrazek,1730.0,275.0,7370.63,0.8184,0.7973,0.8378,73.0,-21.32,86.0,-0.174,77.0,9.0,0,253.68,176.94,-98.06,1,54.0,57.0,1,Qualified,
8482661,Jesper Wallstedt,409.0,60.0,1267.98,,,,,-4.11,59.0,-0.194,82.0,-23.0,0,55.89,38.81,-21.19,0,,,3,Insufficient Sample,
