player_id,player_name,position,pos_group,es_toi_min,CNFI_blocks,CNFI_blocks_per60,CNFI_blocks_lo95,CNFI_blocks_hi95,MNFI_blocks,MNFI_blocks_per60,MNFI_blocks_lo95,MNFI_blocks_hi95,FNFI_blocks,FNFI_blocks_per60,FNFI_blocks_lo95,FNFI_blocks_hi95,TNFI_blocks,TNFI_blocks_per60,TNFI_blocks_lo95,TNFI_blocks_hi95,blocks_xG_prevented_total,blocks_xG_prevented_per60,TNFI_blocks_per60_rank,xG_prevented_per60_rank,PK_TOI_min,PK_CNFI_blocks,PK_CNFI_blocks_per60,PK_CNFI_blocks_lo95,PK_CNFI_blocks_hi95,PK_MNFI_blocks,PK_MNFI_blocks_per60,PK_MNFI_blocks_lo95,PK_MNFI_blocks_hi95,PK_FNFI_blocks,PK_FNFI_blocks_per60,PK_FNFI_blocks_lo95,PK_FNFI_blocks_hi95,PK_TNFI_blocks,PK_TNFI_blocks_per60,PK_TNFI_blocks_lo95,PK_TNFI_blocks_hi95,PK_blocks_xG_prevented_total,PK_blocks_xG_prevented_per60,PK_TNFI_blocks_per60_rank,PK_xG_prevented_per60_rank
8481743,Marc Del Gaizo,D,D,769.85,22,1.7146,1.1366,2.5729,12,0.9352,0.5362,1.6225,2,0.1559,0.0428,0.5652,36,2.8057,2.0376,3.8428,4.1463,0.3232,302,268,,,,,,,,,,,,,,,,,,,,,
8478146,Matthew Highmore,C,F,919.6833333333332,13,0.8481,0.4966,1.4415,18,1.1743,0.7447,1.8429,12,0.7829,0.4486,1.3596,43,2.8053,2.093,3.7419,3.90775,0.2549,303,355,56.35,1.0,1.0648,0.1895,5.6675,3.0,3.1943,1.1031,8.7645,1.0,1.0648,0.1895,5.6675,5.0,5.3239,2.3245,11.5537,0.46501,0.4951,382.0,385.0
8477932,Aaron Ekblad,D,D,5282.966666666666,114,1.2947,1.0796,1.5515,116,1.3174,1.1003,1.5762,17,0.1931,0.1206,0.3089,247,2.8052,2.483,3.167,27.1016,0.3078,304,287,439.96666666666664,36.0,4.9095,3.581,6.6716,41.0,5.5913,4.1659,7.4385,2.0,0.2727,0.0748,0.9852,79.0,10.7735,8.7903,13.088,8.8755,1.2104,192.0,172.0
8480990,Declan Chisholm,D,D,1605.3,30,1.1213,0.7874,1.5935,37,1.3829,1.0062,1.8968,8,0.299,0.1517,0.5883,75,2.8032,2.2465,3.4909,7.8995,0.2953,305,304,73.25,1.0,0.8191,0.1453,4.4159,1.0,0.8191,0.1453,4.4159,0.0,0.0,0.0,2.9996,2.0,1.6382,0.4527,5.6702,0.23074,0.189,581.0,571.0
8475796,Mark Pysyk,D,D,1094.6666666666667,18,0.9866,0.6254,1.5501,30,1.6443,1.1554,2.3305,3,0.1644,0.0559,0.4815,51,2.7954,2.136,3.6432,5.4605999999999995,0.2993,306,298,,,,,,,,,,,,,,,,,,,,,
8477451,Ryan Hartman,R,F,4560.95,73,0.9603,0.765,1.2046,97,1.276,1.0479,1.5525,42,0.5525,0.4092,0.7454,212,2.7889,2.4446,3.1789,20.67955,0.272,307,337,289.93333333333334,9.0,1.8625,0.9847,3.4752,3.0,0.6208,0.2115,1.7981,7.0,1.4486,0.7044,2.9387,19.0,3.9319,2.5405,6.0032,1.71015,0.3539,440.0,464.0
8483515,Juraj Slafkovský,L,F,3611.516666666667,52,0.8639,0.6597,1.1298,65,1.0799,0.8487,1.3723,50,0.8307,0.631,1.0921,167,2.7745,2.3913,3.2147,14.997000000000002,0.2492,308,369,208.16666666666666,9.0,2.5941,1.3757,4.8105,2.0,0.5765,0.1584,2.0625,0.0,0.0,0.0,1.0881,11.0,3.1705,1.787,5.5322,1.37442,0.3961,488.0,436.0
8480995,Pontus Holmberg,R,F,2164.8,25,0.6929,0.47,1.0195,49,1.3581,1.0297,1.7877,26,0.7206,0.4925,1.0523,100,2.7716,2.2874,3.3518,9.05475,0.251,309,364,87.31666666666666,0.0,0.0,0.0,2.5373,4.0,2.7486,1.0813,6.7399,2.0,1.3743,0.3796,4.7997,6.0,4.1229,1.9193,8.5439,0.46854,0.322,426.0,483.0
8477482,Zachary Sanford,L,F,1450.8833333333334,11,0.4549,0.2543,0.8115,34,1.406,1.009,1.9539,22,0.9098,0.602,1.371,67,2.7707,2.1914,3.4934,5.586450000000001,0.231,310,400,74.18333333333334,2.0,1.6176,0.4466,5.5977,0.0,0.0,0.0,2.9611,1.0,0.8088,0.1434,4.3593,3.0,2.4264,0.8329,6.7529,0.29447,0.2382,525.0,532.0
8470600,Ryan Suter,D,D,5804.766666666666,110,1.137,0.9448,1.3673,142,1.4678,1.2475,1.7257,16,0.1654,0.1018,0.2684,268,2.7701,2.4637,3.1123,29.1501,0.3013,311,295,326.3833333333333,25.0,4.5958,3.1488,6.6453,22.0,4.0443,2.6991,6.0036,1.0,0.1838,0.0325,1.0301,48.0,8.824,6.7732,11.3885,5.50117,1.0113,235.0,203.0
