goalie_id,goalie_name,name_norm,total_faced,toi_ES_min,NFI_GSAx_cumulative,NFI_GSAx_per60,NFI_rank,playerId,name,seasons,games,icetime_min,xGoals,goals,MP_GSAx,MP_GSAx_per60,MP_rank
8479193,Casey DeSmith,casey desmith,1634.0,6302.37,15.1,0.144,16,8479193,Casey DeSmith,5,150,6873.2,297.28000000000003,261.0,36.28,0.317,8
8475311,Darcy Kuemper,darcy kuemper,2603.0,10899.85,14.26,0.078,17,8475311,Darcy Kuemper,5,247,11610.0,463.75,432.0,31.75,0.164,11
8476341,Anton Forsberg,anton forsberg,1644.0,6943.58,13.04,0.113,18,8476341,Anton Forsberg,5,170,7575.8,324.78,310.0,14.78,0.117,25
8473575,Semyon Varlamov,semyon varlamov,1094.0,4632.93,12.6,0.163,19,8473575,Semyon Varlamov,4,92,4414.5,188.18,181.0,7.18,0.098,36
8480925,Pavel Francouz,pavel francouz,468.0,1778.55,12.44,0.42,20,8480925,Pavel Francouz,2,37,1728.3,66.45,64.0,2.45,0.085,56
8476412,Jordan Binnington,jordan binnington,2707.0,11375.8,11.07,0.058,21,8476412,Jordan Binnington,5,252,12139.9,527.67,528.0,-0.33,-0.002,89
8477293,Antti Raanta,antti raanta,859.0,3567.47,10.75,0.181,22,8477293,Antti Raanta,3,79,3496.9,130.89000000000001,121.0,9.89,0.17,30
8475156,Mikko Koskinen,mikko koskinen,555.0,2215.38,10.59,0.287,23,8475156,Mikko Koskinen,1,45,2165.3,93.3,99.0,-5.7,-0.158,139
8470594,Marc-Andre Fleury,marc andre fleury,1757.0,7813.33,7.56,0.058,24,8470594,Marc-Andre Fleury,4,168,7791.9,296.46,306.0,-9.54,-0.073,154
8470860,Jaroslav Halak,jaroslav halak,425.0,1888.05,7.33,0.233,25,8470860,Jaroslav Halak,2,42,1871.1,77.75999999999999,78.0,-0.24,-0.008,88
8475215,Robin Lehner,robin lehner,497.0,2169.52,6.96,0.192,26,8475215,Robin Lehner,1,44,2156.2,90.9,90.0,0.9,0.025,69
8479979,Jake Oettinger,jake oettinger,3202.0,12246.8,6.7,0.033,27,8479979,Jake Oettinger,5,276,13164.8,514.08,496.0,18.08,0.082,21
8479394,Carter Hart,carter hart,1486.0,6780.52,5.99,0.053,28,8479394,Carter Hart,4,144,6784.1,295.52,288.0,7.52,0.067,34
8483548,Brandon Bussi,brandon bussi,348.0,1268.03,4.35,0.206,29,8483548,Brandon Bussi,1,39,1945.8,69.86,67.0,2.86,0.088,47
8478024,Ville Husso,ville husso,1628.0,6631.35,3.59,0.032,30,8478024,Ville Husso,5,148,6766.5,296.46000000000004,301.0,-4.54,-0.04,130
8469608,Mike Smith,mike smith,480.0,1305.73,3.18,0.146,31,8469608,Mike Smith,1,28,1294.5,55.98,49.0,6.98,0.324,37
8476899,Matt Murray,matt murray,577.0,2314.03,2.93,0.076,32,8476899,Matt Murray,4,53,2411.2,106.37,100.0,6.37,0.159,38
