season,team,fwd_RelNFI_A,fwd_RelNFI,fwd_NFI_ZA,goalie_id,goalie_name,CNFI_rebound_goal_rate,z_score,team_reb_goals,team_CNFI_saves,team_CNFI_reb_rate,points,exposed,GSAx_rate
20232024,TOR,0.378793605349635,0.22657397864150475,0.5272483464290526,8478492,Ilya Samsonov,1.9626,1.672,7,361,1.1634349030470914,102,True,-0.09762050030506407
20232024,VAN,0.2949878501365184,0.11782302711881844,0.5439703781723502,8477967,Thatcher Demko,1.5889,0.726,4,365,0.6575342465753424,109,True,1.890810276679842
20232024,VGK,0.32605722822933475,-0.09056321613014919,0.5151258214335943,8480313,Logan Thompson,1.147,-0.392,7,311,1.3504823151125402,98,False,1.2175925925925928
20232024,WPG,0.09419799626225284,0.0631203358038155,0.5122873718271208,8476945,Connor Hellebuyck,1.2956,-0.016,5,370,0.8108108108108109,110,True,1.463160777869077
20232024,WSH,0.314406817061682,0.1344115630795004,0.48828321329206326,8479292,Charlie Lindgren,0.8235,-1.211,5,332,0.9036144578313253,91,False,-1.3592233009708738
20242025,ANA,0.2153080855227444,0.020294530129891915,0.4446238222263109,8480843,Lukas Dostal,0.8671,-1.101,4,359,0.6685236768802229,80,False,-0.3238512035010941
20242025,BOS,0.476305539149892,0.29342807750348343,0.48507073902180187,8480280,Jeremy Swayman,0.9978,-0.77,3,270,0.6666666666666667,76,False,1.503875968992248
20242025,BUF,0.2623142242649704,0.038927704251653386,0.4801731731768851,8480045,Ukko-Pekka Luukkonen,0.8621,-1.114,7,277,1.5162454873646207,79,False,-0.7988353626257279
20242025,CBJ,0.1987493422444145,0.114369465819008,0.48568391441093556,8478007,Elvis Merzlikins,1.3953,0.236,5,356,0.8426966292134831,89,True,-0.4164222873900293
20242025,COL,0.061159610884258093,-0.006323805214853328,0.525206707307278,8478406,Mackenzie Blackwood,1.3793,0.196,3,302,0.5960264900662252,102,True,-0.07836990595611285
20242025,DAL,0.25054782249338337,-0.05236449479477571,0.5162212559719734,8479979,Jake Oettinger,1.1765,-0.318,5,346,0.8670520231213873,106,False,0.20924422236102436
20242025,DET,0.4105632533581242,0.13493074590233486,0.47348940416206114,8475660,Cam Talbot,1.4634,0.409,7,309,1.3592233009708738,86,True,-0.5038204393505253
20242025,EDM,0.2109233517877278,0.06641220853518073,0.5394695546608397,8479973,Stuart Skinner,1.5674,0.672,7,319,1.316614420062696,101,True,-0.6966205837173579
20242025,FLA,0.39148510174721035,0.08126973603349032,0.5246051689668902,8475683,Sergei Bobrovsky,0.9346,-0.93,5,326,0.9202453987730062,98,False,0.7742628992628993
20242025,LAK,0.2559201478250625,0.030850283552720823,0.5432672050765759,8475311,Darcy Kuemper,1.0987,-0.515,3,289,0.6228373702422145,105,False,0.5478294275835573
20242025,MIN,0.2841277627423302,0.18552029454259023,0.49942957745368866,8479406,Filip Gustavsson,1.1643,-0.349,7,286,1.4685314685314685,97,False,-0.09834558823529412
20242025,MTL,0.18825288059052755,0.030343916431495418,0.48466582491531174,8478470,Samuel Montembeault,0.9644,-0.855,8,342,1.4035087719298245,91,False,-0.6347787215020116
20242025,NJD,0.22371919669897974,0.08937835698814688,0.5126381782634668,8474593,Jacob Markstrom,1.3056,0.009,3,306,0.5882352941176471,91,True,-0.03138373751783167
20242025,NSH,0.33804583183249476,-0.06634916629678621,0.5075820774482851,8477424,Juuse Saros,1.1158,-0.471,3,317,0.5678233438485805,68,False,0.4897270775835633
20242025,NYI,0.15838563688270715,-0.0013080594753149706,0.4964230225814449,8478009,Ilya Sorokin,0.7482,-1.402,2,327,0.3669724770642202,82,False,2.293219303604154
20242025,NYR,0.4923824442699497,0.16919849986287996,0.48571850199782685,8478048,Igor Shesterkin,1.4969,0.493,3,352,0.5113636363636364,85,True,2.2797101449275363
20242025,OTT,0.5086614243143153,0.061610824869678345,0.5061670612687752,8476999,Linus Ullmark,1.2143,-0.222,9,285,1.8947368421052633,97,False,0.740271097507652
20242025,PIT,0.28938441289033345,0.23715311802555028,0.4914353483665016,8477968,Alex Nedeljkovic,1.4358,0.339,5,326,0.9202453987730062,80,True,0.008669046404895462
20242025,SEA,0.3674511869590423,0.009800800803335898,0.46961478135094964,8478916,Joey Daccord,1.1472,-0.392,4,295,0.8135593220338982,76,False,-0.3092852371409486
20242025,SJS,0.6153176453497394,0.2738236501594999,0.44493289911556155,8480382,Alexandar Georgiev,1.4782,0.446,5,328,0.9146341463414633,52,True,0.05219298245614035
20242025,STL,0.35760674821837624,0.3004278998126456,0.524682444646077,8476412,Jordan Binnington,1.3282,0.066,1,288,0.20833333333333331,96,True,0.40893978574067236
20242025,TBL,0.4341232446952117,0.2887961707658293,0.5205254279341426,8476883,Andrei Vasilevskiy,1.0798,-0.562,3,327,0.5504587155963303,102,False,1.588420750931499
20242025,TOR,0.38464554577356336,0.16786070816607165,0.5177937844445576,8479361,Joseph Woll,0.8251,-1.207,5,318,0.9433962264150944,108,False,-0.061503416856492035
20242025,UTA,0.30730818256797526,-0.043739025791054736,0.521642662432501,8478872,Karel Vejmelka,1.7266,1.075,5,239,1.2552301255230125,89,True,-0.012043658261196839
20242025,VAN,0.19573543251773412,-0.03768935623661688,0.4854249916884503,8480947,Kevin Lankinen,1.849,1.385,8,267,1.797752808988764,90,True,-0.30098779779198137
20242025,VGK,0.2194153491604138,-0.06000015960962372,0.5409418377980928,8478499,Adin Hill,1.2283,-0.186,4,303,0.7920792079207921,110,False,-0.20799536500579374
20242025,WPG,0.05750660638441693,-0.19648386600061105,0.5202714396379859,8476945,Connor Hellebuyck,1.2956,-0.016,6,309,1.1650485436893203,116,True,1.463160777869077
20242025,WSH,0.042985580742332004,0.009704026986241702,0.5199295104675992,8480313,Logan Thompson,1.147,-0.392,5,308,0.9740259740259739,111,False,1.2175925925925928
