player_id,player_name,es_toi_min,P1a_weighted_CNFI,P1a_weighted_MNFI,P1a_weighted_total,P2_weighted,z_P1a_weighted,z_P2_weighted,twoway_score,off_rank,def_rank,twoway_rank
8479400,Pierre-Luc Dubois,4931.92,1.5269,0.9978,2.5247,1.9215,1.0013370494100715,0.055081534814110954,0.9462555145959606,93,339,152
8475225,Craig Smith,2834.02,1.4249,1.0943,2.5192,1.9184,0.9836600760828621,0.039095657267035185,0.9445644188158269,96,334,153
8478010,Brayden Point,5565.82,1.4817,1.0091,2.4908,1.9009,0.8923826138114545,-0.051147199853557666,0.9435298136650121,104,311,154
8478856,Conor Garland,4907.08,1.4232,0.933,2.3562000000000003,1.8205,0.4597788665673889,-0.46574866913902274,0.9255275357064117,171,203,155
8481656,Aliaksei Protas,3704.0,1.5303,0.855,2.3853,1.8439,0.5533061254440768,-0.3450810773320586,0.8983872027761354,155,239,156
8482737,Zachary Bolduc,1679.5,1.1833,0.858,2.0413,1.6301,-0.5523082062941007,-1.4475909546110686,0.8952827483169679,428,29,157
8482726,Samuel Helenius,652.32,1.1573,0.7307,1.888,1.5361,-1.045013662850679,-1.9323240157159658,0.8873103528652868,538,11,158
8482110,Dawson Mercer,5399.6,1.4315,0.8466,2.2781000000000002,1.7804,0.20876584532101752,-0.6725337303124947,0.8812995756335122,230,158,159
8478585,Derek Ryan,2411.43,1.6492,0.9278,2.577,1.9676,1.1694289957760788,0.29280700414321476,0.8766219916328641,72,401,160
8471685,Anze Kopitar,5877.88,1.2487,0.8137,2.0624,1.6474,-0.4844929086206263,-1.3583794444289978,0.8738865358083716,408,35,161
8474586,Jordan Eberle,4814.13,1.2815,0.8944,2.1759,1.719,-0.1197044590500351,-0.9891572404384588,0.8694527813884236,300,82,162
8475314,Anders Lee,5288.3,1.654,0.8847,2.5387,1.9456,1.0463329815156943,0.17935884090589838,0.8669741406097959,90,377,163
8484145,Zach Benson,2305.42,1.4634,0.8723,2.3357,1.8216,0.3938919659841539,-0.46007626097715637,0.8539682269613103,184,204,164
8480208,Drake Batherson,5085.27,1.2618,0.9168,2.1786,1.7254,-0.1110266721439508,-0.9561541384057851,0.8451274662618343,298,88,165
8482201,Gage Goncalves,1221.75,1.4006,0.7722,2.1728,1.7238,-0.12966784401627993,-0.9644049139139539,0.8347370698976739,303,86,166
8477496,Elias Lindholm,5397.1,1.2988,0.9115,2.2103,1.7496,-0.009143025876216637,-0.8313611588447373,0.8222181329685206,274,122,167
8475726,Tyler Toffoli,4884.57,1.3159,0.9897,2.3056,1.8105,0.2971507119570633,-0.5173160160650756,0.8144667280221389,200,192,168
8483464,Marco Kasper,1557.75,1.4524,0.8074,2.2598,1.782,0.1499497340686654,-0.6642829548043261,0.8142326888729915,239,160,169
