name,name_raw,season_end_year,age,height_in,weight_lbs
marc andra fleury,Marc-AndrÃ© Fleury,2015,30.0,74.0,185.0
pekka rinne,Pekka Rinne,2015,32.0,77.0,217.0
ben bishop,Ben Bishop,2015,28.0,79.0,210.0
mike smith,Mike Smith,2015,32.0,77.0,220.0
roberto luongo,Roberto Luongo,2015,35.0,75.0,215.0
antti niemi,Antti Niemi,2015,31.0,74.0,209.0
jaroslav halak,Jaroslav HalÃ¡k,2015,29.0,71.0,189.0
jonathan bernier,Jonathan Bernier,2015,26.0,72.0,185.0
devan dubnyk,Devan Dubnyk,2015,28.0,78.0,224.0
corey crawford,Corey Crawford,2015,30.0,74.0,216.0
ben scrivens,Ben Scrivens,2015,28.0,74.0,181.0
semyon varlamov,Semyon Varlamov,2015,26.0,74.0,201.0
frederik andersen,Frederik Andersen,2015,25.0,76.0,229.0
jimmy howard,Jimmy Howard,2015,30.0,73.0,218.0
jonas hiller,Jonas Hiller,2015,32.0,74.0,191.0
sergei bobrovsky,Sergei Bobrovsky,2015,26.0,74.0,180.0
steve mason,Steve Mason,2015,26.0,76.0,210.0
cam ward,Cam Ward,2015,30.0,73.0,194.0
ondaej pavelec,OndÅej Pavelec,2015,27.0,75.0,212.0
jhonas enroth,Jhonas Enroth,2015,26.0,70.0,175.0
brian elliott,Brian Elliott,2015,29.0,74.0,221.0
henrik lundqvist,Henrik Lundqvist,2015,32.0,73.0,182.0
ryan miller,Ryan Miller,2015,34.0,74.0,168.0
eddie lack,Eddie LÃ¤ck,2015,27.0,76.0,187.0
michael hutchinson,Michael Hutchinson,2015,24.0,75.0,198.0
jake allen,Jake Allen,2015,24.0,74.0,197.0
cam talbot,Cam Talbot,2015,27.0,75.0,202.0
craig anderson,Craig Anderson,2015,33.0,74.0,187.0
james reimer,James Reimer,2015,26.0,74.0,200.0
anton khudobin,Anton Khudobin,2015,28.0,71.0,195.0
karri rama,Karri RÃ¤mÃ¶,2015,28.0,74.0,206.0
curtis mcelhinney,Curtis McElhinney,2015,31.0,74.0,203.0
michal neuvirth,Michal Neuvirth,2015,26.0,73.0,209.0
ray emery,Ray Emery,2015,32.0,74.0,196.0
darcy kuemper,Darcy Kuemper,2015,24.0,77.0,215.0
petr mrazek,Petr MrÃ¡zek,2015,22.0,74.0,192.0
viktor fasth,Viktor Fasth,2015,32.0,72.0,181.0
anders lindback,Anders LindbÃ¤ck,2015,26.0,78.0,215.0
robin lehner,Robin Lehner,2015,23.0,76.0,240.0
andrew hammond,Andrew Hammond,2015,26.0,74.0,224.0
john gibson,John Gibson,2015,21.0,75.0,209.0
alex stalock,Alex Stalock,2015,27.0,71.0,170.0
thomas greiss,Thomas Greiss,2015,29.0,74.0,219.0
al montoya,Al Montoya,2015,29.0,74.0,200.0
niklas backstram,Niklas BÃ¤ckstrÃ¶m,2015,36.0,74.0,192.0
reto berra,Reto Berra,2015,28.0,76.0,218.0
chad johnson,Chad Johnson,2015,28.0,75.0,197.0
keith kinkaid,Keith Kinkaid,2015,25.0,75.0,186.0
carter hutton,Carter Hutton,2015,29.0,72.0,208.0
niklas svedberg,Niklas Svedberg,2015,25.0,73.0,163.0
dustin tokarski,Dustin Tokarski,2015,25.0,72.0,198.0
calvin pickard,Calvin Pickard,2015,22.0,73.0,206.0
andrei vasilevskiy,Andrei Vasilevskiy,2015,20.0,76.0,223.0
martin jones,Martin Jones,2015,25.0,77.0,203.0
scott darling,Scott Darling,2015,26.0,77.0,226.0
antti raanta,Antti Raanta,2015,25.0,72.0,195.0
justin peters,Justin Peters,2015,28.0,73.0,210.0
evgeni nabokov,Evgeni Nabokov,2015,39.0,72.0,202.0
rob zepp,Rob Zepp,2015,33.0,73.0,194.0
ilya bryzgalov,Ilya Bryzgalov,2015,34.0,75.0,213.0
dan ellis,Dan Ellis,2015,34.0,73.0,195.0
martin brodeur,Martin Brodeur,2015,42.0,74.0,220.0
louis domingue,Louis Domingue,2015,22.0,75.0,208.0
jonas gustavsson,Jonas Gustavsson,2015,30.0,76.0,201.0
richard bachman,Richard Bachman,2015,27.0,70.0,183.0
joni ortio,Joni Ortio,2015,23.0,73.0,190.0
anton forsberg,Anton Forsberg,2015,22.0,75.0,200.0
matt hackett,Matt Hackett,2015,24.0,74.0,179.0
jason labarbera,Jason LaBarbera,2015,35.0,75.0,232.0
scott clemmensen,Scott Clemmensen,2015,37.0,74.0,201.0
jacob markstram,Jacob MarkstrÃ¶m,2015,25.0,78.0,207.0
john curry,John Curry,2015,30.0,71.0,185.0
troy grosenick,Troy Grosenick,2015,25.0,73.0,181.0
marek mazanec,Marek Mazanec,2015,23.0,76.0,202.0
thomas mccollum,Thomas McCollum,2015,25.0,74.0,215.0
jussi rynnas,Jussi RynnÃ¤s,2015,27.0,77.0,205.0
mackenzie skapski,Mackenzie Skapski,2015,20.0,75.0,192.0
