player_id,player_name,es_toi_min,TNFI_SA_per60,P4_weighted,TNFI_SF_per60,P5_weighted,z_P5_weighted,z_P4_weighted,twoway_D_score,off_rank,def_rank,twoway_D_rank
8481006,Tyler Tucker,1667.47,17.9914,1.8637,17.9194,1.7589,-0.47305565538586186,-0.396996610850835,-0.07605904453502688,239,129,194
8480796,Martin Fehérváry,5828.33,19.6832,1.9416,17.9949,1.8437,-0.09813890787865871,0.003632611916567481,-0.1017715197952262,173,193,195
8476879,Cody Ceci,6451.35,23.0277,2.2541,21.5583,2.2068,1.5071944767895662,1.6107780819398438,-0.10358360515027765,27,323,196
8482142,Jamie Drysdale,4239.93,18.7078,1.8278,17.038,1.7106,-0.6865990386947997,-0.5816254824471079,-0.10497355624769178,269,103,197
8474145,Robert Bortuzzo,1831.57,20.2777,2.0041,19.295,1.9132,0.20913366230708028,0.3250617059212237,-0.11592804361414341,135,235,198
8476457,Adam Larsson,7235.98,18.408,1.8413,17.811,1.7236,-0.6291235939118551,-0.5121967981421032,-0.11692679576975196,256,113,199
8478407,Vince Dunn,6119.82,18.9614,1.8995,18.5888,1.7911,-0.3306933998465701,-0.2128820258049683,-0.1178113740416018,209,155,200
8481572,Ville Heinola,536.6,20.1267,1.952,19.1204,1.8495,-0.07249601712934517,0.0571184131589419,-0.12961443028828706,167,205,201
8477355,Will Butcher,586.3,19.8533,1.8523,20.4673,1.7321,-0.5915434953999306,-0.4556252775972833,-0.1359182178026473,251,119,202
8479439,Jacob MacDonald,1032.57,19.7566,1.9875,19.1755,1.887,0.09329853512914721,0.2396901385535864,-0.1463916034244392,147,225,203
8479425,Filip Hronek,6266.98,18.7554,1.925,18.2001,1.8107,-0.2440381138661313,-0.08173895545106863,-0.16229915841506268,195,179,204
8485366,Matthew Schaefer,1085.67,19.8956,2.0055,18.4587,1.9012,0.1560794055843628,0.33226171762692713,-0.17618231204256432,143,236,205
8480834,Ty Emberson,2010.33,18.4745,1.7745,16.057,1.6303,-1.041620439930983,-0.8557402138142783,-0.18588022611670463,299,62,206
8481059,Scott Perunovich,1437.27,17.9507,1.8307,18.3265,1.6955,-0.7533589784042186,-0.5667111724852925,-0.18664780591892616,282,106,207
8471686,Marc Staal,2763.08,22.4749,2.349,22.4315,2.292,1.8838796995208598,2.098836018276512,-0.21495631875565202,17,339,208
8475324,Nick Jensen,5757.03,19.2078,1.8606,17.384,1.7227,-0.6331026631660596,-0.41293949391346524,-0.22016316925259433,257,122,209
8478859,Niko Mikkola,5424.8,21.6008,2.1166,20.0966,2.0188,0.6760111214669944,0.9036340751296018,-0.22762295366260743,85,286,210
8477971,Andreas Englund,1888.7,17.1547,1.7786,16.9323,1.625,-1.0650527366501836,-0.834654465247573,-0.2303982714026106,304,63,211
8478840,Will Borgen,4911.18,19.3151,1.8949,17.8002,1.7602,-0.46730811090756713,-0.23653920712371057,-0.23076890378385656,236,149,212
8481524,Bowen Byram,4990.73,20.9188,2.1222,21.556,2.0231,0.695022230125967,0.932434121952418,-0.23741189182645106,82,291,213
8482671,Owen Power,5424.87,18.8244,1.9497,18.8797,1.8184,-0.20999496580238744,0.04528982249957075,-0.2552847883019582,188,202,214
8480950,Ilya Lyubushkin,4701.65,19.8824,2.0091,18.6062,1.8818,0.07030835721596924,0.3507760334415955,-0.2804676762256263,150,237,215
8482111,Justin Barron,2739.63,19.5355,1.9988,18.5061,1.8675,0.007085367954731056,0.2978045187496273,-0.29071915079489624,157,231,216
8473507,Jeff Petry,4674.62,19.7278,1.9244,17.9309,1.7806,-0.3771158744789476,-0.08482467475351298,-0.29229119972543466,217,177,217
8479442,Troy Stecher,3884.25,20.4673,2.0437,18.9535,1.9115,0.20161764260469517,0.5287191798825712,-0.32710153727787605,136,249,218
