player_id,player_name,es_toi_min,CNFI_SF,CNFI_SF_per60,CNFI_SF_lo95,CNFI_SF_hi95,MNFI_SF,MNFI_SF_per60,MNFI_SF_lo95,MNFI_SF_hi95,FNFI_SF,FNFI_SF_per60,FNFI_SF_lo95,FNFI_SF_hi95,TNFI_SF,TNFI_SF_per60,TNFI_SF_lo95,TNFI_SF_hi95,P5_weighted,TNFI_rank_raw,P5_weighted_rank,rank_delta,weighting_flag
8480049,Dylan Samberg,3991.53,625,9.3949,8.7373,10.0899,399,5.9977,5.4616,6.5785,286,4.2991,3.8429,4.8037,1310,19.6917,18.8257,20.5729,1.997,111,93,18,HIGH_DANGER_MIX
8475171,Oliver Ekman-Larsson,5726.7,825,8.6437,8.1119,9.2033,598,6.2654,5.8057,6.7563,456,4.7776,4.3734,5.2152,1879,19.6867,18.9632,20.422,1.9345,112,123,-11,LOW_DANGER_MIX
8476891,Matt Grzelcyk,5326.63,750,8.4481,7.9026,9.0235,582,6.5557,6.0694,7.0749,413,4.6521,4.2389,5.1012,1745,19.6559,18.9061,20.418,1.9464,113,117,-4,
8476525,Colin Miller,3368.02,443,7.8919,7.2322,8.6021,388,6.9121,6.2913,7.5855,272,4.8456,4.3217,5.4268,1103,19.6495,18.7109,20.6119,1.8856,114,149,-35,LOW_DANGER_MIX
8475718,Justin Holl,4138.58,609,8.8291,8.2003,9.4954,456,6.611,6.0595,7.2045,288,4.1753,3.7334,4.6644,1353,19.6154,18.766,20.4802,1.9639,115,111,4,
8480246,Nick Perbix,3971.65,568,8.5808,7.9475,9.254,410,6.1939,5.6484,6.7843,320,4.8343,4.35,5.3663,1298,19.609,18.7424,20.4921,1.9188,116,132,-16,LOW_DANGER_MIX
8479371,Dante Fabbro,5041.67,720,8.5686,8.0049,9.1638,544,6.474,5.9776,7.0055,382,4.5461,4.1267,5.0037,1646,19.5888,18.819,20.3717,1.9387,117,121,-4,
8476979,Erik Gustafsson,4018.85,574,8.5696,7.9407,9.2388,426,6.36,5.8112,6.9536,312,4.658,4.1853,5.1788,1312,19.5877,18.7274,20.4664,1.9302,118,125,-7,
8471274,Alex Goligoski,2358.88,324,8.2412,7.4427,9.1097,262,6.6642,5.9407,7.4629,184,4.6802,4.071,5.3712,770,19.5855,18.467,20.736,1.9134,119,134,-15,LOW_DANGER_MIX
8476885,Jacob Trouba,6455.68,991,9.2105,8.6948,9.75,662,6.1527,5.7225,6.6107,452,4.2009,3.8424,4.5898,2105,19.5642,18.8835,20.2553,1.9804,120,101,19,HIGH_DANGER_MIX
8480800,Quinn Hughes,7255.15,976,8.0715,7.6122,8.5544,761,6.2935,5.883,6.7293,628,5.1936,4.8184,5.5951,2365,19.5585,18.9174,20.2115,1.8885,121,145,-24,LOW_DANGER_MIX
8478507,John Marino,5329.9,790,8.8932,8.3359,9.4806,566,6.3716,5.8921,6.8849,380,4.2778,3.8814,4.711,1736,19.5426,18.7951,20.3044,1.9553,122,116,6,
8478397,Rasmus Andersson,7060.67,964,8.1919,7.7228,8.6839,782,6.6453,6.2184,7.0969,552,4.6908,4.3285,5.0802,2298,19.5279,18.8771,20.1882,1.9099,123,138,-15,LOW_DANGER_MIX
8481598,Philip Broberg,3080.07,482,9.3894,8.6455,10.1851,324,6.3116,5.6908,6.9916,194,3.7791,3.2964,4.3274,1000,19.4801,18.5019,20.4853,2.0128,124,87,37,HIGH_DANGER_MIX
8481719,Max Crozier,582.7,91,9.3702,7.7334,11.2675,55,5.6633,4.3918,7.2476,43,4.4277,3.313,5.8726,189,19.4611,17.2469,21.7935,1.9714,125,104,21,HIGH_DANGER_MIX
8480222,Sebastian Aho,2445.9,386,9.4689,8.6339,10.3675,243,5.961,5.2867,6.7102,164,4.0231,3.468,4.6593,793,19.453,18.3565,20.581,1.9887,126,97,29,HIGH_DANGER_MIX
8476906,Shayne Gostisbehere,5686.02,798,8.4207,7.8935,8.977,598,6.3102,5.8477,6.8048,447,4.7168,4.314,5.1539,1843,19.4477,18.7251,20.1846,1.9184,127,133,-6,
8480823,Alexander Alexeyev,1088.65,166,9.1489,7.9386,10.5001,111,6.1177,5.1201,7.2792,75,4.1336,3.3177,5.1286,352,19.4002,17.767,21.0955,1.9445,128,119,9,
8474697,Mark Borowiecki,671.65,89,7.9506,6.5333,9.6103,74,6.6106,5.3178,8.1624,54,4.8239,3.7265,6.2026,217,19.3851,17.3193,21.5515,1.9224,129,130,-1,
8477435,Ryan Graves,4816.88,734,9.1428,8.5503,9.7682,506,6.3028,5.8019,6.8412,314,3.9112,3.5133,4.3506,1554,19.3569,18.5731,20.1568,1.9667,130,109,21,HIGH_DANGER_MIX
8480145,Neal Pionk,6109.98,845,8.2979,7.7921,8.8309,646,6.3437,5.8959,6.8213,476,4.6743,4.2868,5.0936,1967,19.3159,18.6199,20.0253,1.9015,131,142,-11,LOW_DANGER_MIX
8477034,Jaycob Megna,2396.0,340,8.5142,7.7102,9.387,256,6.4107,5.7059,7.191,175,4.3823,3.7973,5.0493,771,19.3072,18.2027,20.4459,1.933,132,124,8,
8474145,Robert Bortuzzo,1831.57,227,7.4363,6.5762,8.3873,230,7.5345,6.6691,8.4904,132,4.3242,3.6651,5.0886,589,19.295,18.0307,20.5949,1.9132,133,135,-2,
8478882,Vladislav Gavrikov,6812.45,926,8.1557,7.6802,8.6569,708,6.2356,5.8145,6.6844,549,4.8353,4.4618,5.2378,2183,19.2266,18.5691,19.8987,1.8877,134,146,-12,LOW_DANGER_MIX
8476850,Ryan Murray,628.02,79,7.5476,6.1268,9.2417,77,7.3565,5.9537,9.035,45,4.2992,3.2389,5.6724,201,19.2033,17.086,21.453,1.8505,135,165,-30,LOW_DANGER_MIX
8479439,Jacob MacDonald,1032.57,135,7.8445,6.6896,9.1571,119,6.9148,5.8283,8.1666,76,4.4162,3.5509,5.4673,330,19.1755,17.5043,20.911,1.887,136,147,-11,LOW_DANGER_MIX
8479324,Ryan Lindgren,5754.1,840,8.759,8.2259,9.3207,587,6.1209,5.6675,6.6062,410,4.2752,3.8934,4.6915,1837,19.155,18.4401,19.8851,1.9072,137,140,-3,
8481056,Spencer Stastney,1240.53,181,8.7543,7.6383,9.9949,143,6.9164,5.9184,8.0517,72,3.4824,2.7794,4.3464,396,19.1531,17.6253,20.7334,1.9676,138,108,30,HIGH_DANGER_MIX
8481572,Ville Heinola,536.6,69,7.7152,6.1683,9.5674,61,6.8207,5.3673,8.5933,41,4.5844,3.4066,6.1165,171,19.1204,16.8265,21.5406,1.8495,139,167,-28,LOW_DANGER_MIX
8478450,Parker Wotherspoon,2488.45,380,9.1623,8.348,10.0442,244,5.8832,5.2198,6.6231,169,4.0748,3.5214,4.7097,793,19.1203,18.0426,20.2385,1.9603,140,114,26,HIGH_DANGER_MIX
8480891,Michael Kesselring,2604.57,359,8.2701,7.5064,9.095,260,5.9895,5.3328,6.7149,211,4.8607,4.2676,5.5262,830,19.1203,18.0602,20.206,1.8469,140,171,-31,LOW_DANGER_MIX
8478476,Kyle Capobianco,1014.17,138,8.1643,6.9815,9.5147,109,6.4486,5.3934,7.6838,76,4.4963,3.6179,5.5687,323,19.1093,17.4356,20.8714,1.8899,142,144,-2,
8478408,Travis Dermott,1925.58,263,8.1949,7.3163,9.1568,229,7.1355,6.3118,8.0471,120,3.7391,3.1414,4.4398,612,19.0695,17.8406,20.3338,1.9452,143,118,25,HIGH_DANGER_MIX
8483620,Marcus Bjork,513.32,54,6.3119,4.8946,8.0891,77,9.0003,7.3078,11.016,32,3.7404,2.6717,5.204,163,19.0526,16.7358,21.5554,1.8795,144,152,-8,
8479576,Vincent Desharnais,2728.53,453,9.9614,9.1504,10.8253,262,5.7613,5.1308,6.458,150,3.2985,2.8214,3.8495,865,19.0212,17.9866,20.0802,2.0432,145,68,77,HIGH_DANGER_MIX
8481072,Tim Berni,925.92,132,8.5537,7.2903,9.9927,112,7.2577,6.09,8.612,49,3.1752,2.4153,4.1562,293,18.9866,17.2362,20.8246,1.9957,146,95,51,HIGH_DANGER_MIX
