player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Tyler Myers,DAL,D,299,4,0.79,0.7862,8.9,7.9,8.4,7.8,8.2,8.0,8.2,8.1,7.6,7.3,4.2,4.3,8.5,8.6,4.4,4.2,-0.0308,0.0161,-0.2251,-0.0799,-0.2251,DECLINING
Dmitry Kulikov,FLA,D,232,3,0.7903,0.8402,8.4,7.4,8.2,7.7,7.1,6.9,5.5,5.5,7.3,6.9,4.9,5.0,8.5,8.5,6.0,5.7,0.0807,-0.0448,,0.018,-0.0448,STABLE
Juuso Välimäki,UTA,D,189,3,0.7933,0.8345,8.7,7.4,8.4,7.7,7.8,7.7,8.8,8.7,8.0,7.9,4.9,4.9,8.1,8.2,4.9,4.7,0.0958,-0.071,,0.0124,-0.071,DECLINING
Neal Pionk,WPG,D,284,4,0.7891,0.7866,8.8,7.8,8.3,7.7,7.4,7.2,5.1,5.1,7.9,7.6,6.1,6.1,8.5,8.5,6.0,5.7,0.1601,-0.0116,-0.4446,-0.0987,-0.4446,DECLINING
Brady Skjei,NSH,D,324,4,0.7952,0.7949,9.0,7.6,8.6,7.7,8.5,8.3,6.5,6.5,7.9,7.4,6.0,6.1,8.8,8.8,7.3,7.1,0.0901,-0.1888,0.0304,-0.0228,0.0304,STABLE
Olli Määttä,CGY,D,269,4,0.7843,0.7828,8.4,7.9,7.9,7.7,7.4,7.3,6.7,6.7,7.2,7.1,4.5,4.5,7.9,8.0,4.7,4.5,-0.0304,0.1593,-0.3203,-0.0638,-0.3203,DECLINING
Brock Faber,MIN,D,242,3,0.7882,0.8629,8.2,7.3,8.1,7.7,9.6,9.3,3.5,3.8,8.1,7.2,6.3,6.4,8.7,8.7,7.2,6.9,,-0.2535,0.0724,-0.0905,0.0724,RISING
Brandt Clarke,LAK,D,184,2,0.7724,0.7514,8.1,8.5,7.4,7.7,8.8,8.5,6.8,6.8,8.4,8.0,4.5,4.6,8.4,8.5,5.2,5.1,,,0.1717,0.1717,0.1717,RISING
Brent Burns,COL,D,327,4,0.7923,0.8179,8.6,7.4,8.2,7.6,8.2,8.0,4.0,4.2,9.1,8.7,9.6,9.5,9.7,9.7,10.0,10.0,0.0678,-0.1526,0.1106,0.0086,0.1106,RISING
Marc-Edouard Vlasic,SJS,D,162,3,0.7933,0.7211,9.3,8.0,8.5,7.6,7.1,7.1,8.9,8.8,6.0,6.1,0.5,0.7,7.6,7.8,2.9,2.9,0.0206,-0.4835,,-0.2315,-0.4835,DECLINING
Erik Brannstrom,VAN,D,178,3,0.7887,0.7525,8.8,7.9,8.1,7.6,7.7,7.8,7.8,8.0,7.2,7.5,4.0,3.9,7.8,7.9,4.9,4.8,0.25,-0.0951,,0.0774,-0.0951,DECLINING
Jonas Brodin,MIN,D,234,4,0.7932,0.826,8.6,7.4,8.3,7.6,9.2,9.0,5.1,5.3,8.2,7.3,5.8,6.0,9.4,9.3,6.9,6.6,0.1463,-0.2116,-0.0641,-0.0431,-0.0641,DECLINING
Sam Dickinson,SJS,D,71,1,0.7588,0.7759,6.9,8.5,6.5,7.6,8.6,8.9,5.3,6.0,7.6,7.8,3.9,3.9,5.8,6.3,1.9,2.5,,,,,,
Egor Zamula,CBJ,D,176,3,0.7808,0.8563,7.6,7.4,7.5,7.6,7.2,7.3,6.4,6.5,6.7,6.8,3.5,3.6,7.7,7.8,5.6,5.4,,-0.2518,-0.1211,-0.1864,-0.1211,DECLINING
Carson Soucy,NYI,D,269,4,0.7848,0.8228,8.2,7.6,7.9,7.6,6.4,6.0,5.9,5.6,6.6,6.1,4.1,4.3,6.9,7.0,4.4,4.0,0.036,-0.1608,-0.0341,-0.053,-0.0341,STABLE
Ryan McDonagh,TBL,D,275,4,0.7934,0.8161,8.6,7.4,8.3,7.6,8.6,8.5,6.5,6.6,7.8,7.5,5.7,5.8,9.0,9.0,7.0,6.8,0.1615,-0.0093,-0.3607,-0.0695,-0.3607,DECLINING
Niko Mikkola,FLA,D,307,4,0.7937,0.8201,8.6,7.2,8.2,7.5,8.5,8.3,6.4,6.4,8.6,8.0,5.4,5.5,9.0,8.9,5.8,5.4,0.2226,-0.0315,-0.1804,0.0036,-0.1804,DECLINING
Mark Giordano,TOR,D,124,2,0.8019,0.7495,9.5,7.5,8.8,7.5,6.6,6.6,7.4,7.4,7.5,7.4,3.2,3.3,7.5,7.6,3.9,3.7,-0.1392,,,-0.1392,,
Pavel Mintyukov,ANA,D,203,3,0.7748,0.7467,8.0,8.2,7.3,7.5,7.5,7.3,7.2,7.0,6.1,5.6,3.8,4.0,7.4,7.6,4.6,4.5,,-0.2282,0.2318,0.0018,0.2318,RISING
Marc Staal,PHI,D,117,2,0.8031,0.7963,9.3,7.2,8.8,7.5,6.6,6.4,3.5,3.6,6.9,6.7,5.4,5.4,8.5,8.5,5.1,4.8,0.2443,,,0.2443,,
Jacob Bryson,WPG,D,193,4,0.7807,0.7604,8.2,8.0,7.7,7.5,6.0,6.0,5.6,5.6,6.3,6.8,3.2,3.2,7.7,7.9,4.5,4.6,-0.2459,-0.2258,0.0962,-0.1252,0.0962,RISING
Sean Durzi,UTA,D,238,4,0.7899,0.8443,8.2,7.2,8.0,7.5,8.2,8.1,4.8,5.1,9.0,8.6,6.9,6.9,8.2,8.3,6.5,6.3,0.2566,-0.0919,-0.0616,0.0344,-0.0616,DECLINING
