player_name,team,pos,GP,OZI_pooled_score,OZI_23_24,OZI_24_25,OZI_25_26,OZI_trend,OZI_recent,OZI_flag,DZI_pooled_score,DZI_23_24,DZI_24_25,DZI_25_26,DZI_trend,DZI_recent,DZI_flag,NZI_pooled_score,NZI_23_24,NZI_24_25,NZI_25_26,NZI_trend,NZI_recent,NZI_flag,TNZI_pooled_score,TNZI_23_24,TNZI_24_25,TNZI_25_26,TNZI_trend,TNZI_recent,TNZI_flag
Jack Thompson,SJS,D,34,1.6,,,,,,,6.1,,,,,,,5.3,,,,,,,8.1,,,,,,
Gustav Forsling,FLA,D,321,9.3,0.0307,0.1262,-0.2392,-0.0274,-0.2392,DECLINING,8.7,-0.085,0.1978,-0.2043,-0.0305,-0.2043,DECLINING,7.6,0.0935,0.0625,-0.1919,-0.0119,-0.1919,DECLINING,8.3,-0.022,-0.0496,0.1383,0.0223,0.1383,RISING
Yan Kuznetsov,CGY,D,58,6.6,,,,,,,7.2,,,,,,,5.3,,,,,,,5.6,,,,,,
Shakir Mukhamadullin,SJS,D,83,5.3,,,0.2251,0.2251,0.2251,RISING,8.1,,,-0.0728,-0.0728,-0.0728,DECLINING,4.7,,,0.3554,0.3554,0.3554,RISING,6.3,,,0.407,0.407,0.407,RISING
Wyatt Kaiser,CHI,D,175,7.9,,-0.1263,0.1108,-0.0077,0.1108,RISING,6.8,,0.2776,-0.078,0.0998,-0.078,DECLINING,6.6,,0.2496,0.0111,0.1303,0.0111,STABLE,7.0,,0.3314,-0.0569,0.1373,-0.0569,DECLINING
Ian Moore,ANA,D,69,8.5,,,,,,,6.3,,,,,,,7.5,,,,,,,7.3,,,,,,
Isaak Phillips,WPG,D,55,6.4,,,,,,,5.5,,,,,,,3.8,,,,,,,4.3,,,,,,
Ian Cole,UTA,D,319,8.5,0.4312,-0.0122,-0.1706,0.0828,-0.1706,DECLINING,9.1,-0.0418,-0.0201,0.0215,-0.0135,0.0215,STABLE,8.4,-0.2465,0.355,-0.3191,-0.0702,-0.3191,DECLINING,8.2,-0.0598,0.2105,-0.3004,-0.0499,-0.3004,DECLINING
Justin Braun,PHI,D,51,9.1,,,,,,,5.3,,,,,,,4.0,,,,,,,5.5,,,,,,
Kevin Shattenkirk,BOS,D,136,8.2,0.2644,,,0.2644,,,6.4,-0.0369,,,-0.0369,,,5.6,0.0326,,,0.0326,,,6.3,-0.1084,,,-0.1084,,
Jake Middleton,MIN,D,301,8.6,0.2916,-0.3676,0.2016,0.0419,0.2016,RISING,9.4,-0.1216,0.1179,-0.3261,-0.11,-0.3261,DECLINING,7.4,-0.1208,0.0758,0.1106,0.0219,0.1106,RISING,8.3,-0.1804,-0.0667,0.1153,-0.0439,0.1153,RISING
Artem Zub,OTT,D,259,8.3,0.4818,-0.3654,-0.0061,0.0368,-0.0061,STABLE,8.4,-0.1394,-0.028,0.0389,-0.0428,0.0389,STABLE,7.9,-0.0971,-0.2735,0.0868,-0.0946,0.0868,RISING,8.9,0.0443,0.0397,-0.0311,0.0177,-0.0311,STABLE
Darren Raddysh,TBL,D,245,7.9,,0.0122,0.0057,0.009,0.0057,STABLE,7.6,,-0.2076,0.2216,0.007,0.2216,RISING,9.1,,-0.1123,0.3592,0.1234,0.3592,RISING,9.1,,0.0414,0.2625,0.152,0.2625,RISING
Brendan Smith,CBJ,D,170,7.4,-0.0436,-0.3456,,-0.1946,-0.3456,DECLINING,7.1,-0.2539,-0.1174,,-0.1857,-0.1174,DECLINING,8.2,-0.3933,-0.0512,,-0.2222,-0.0512,DECLINING,8.1,-0.4742,0.1085,,-0.1829,0.1085,RISING
Robert Bortuzzo,UTA,D,87,8.8,0.0436,,,0.0436,,,5.3,-0.1914,,,-0.1914,,,5.0,-0.0831,,,-0.0831,,,7.3,-0.4071,,,-0.4071,,
