player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Nico Sturm,MIN,C,249,4,0.7533,0.698,7.6,6.0,7.2,6.7,5.8,5.8,7.9,7.9,5.8,5.7,3.3,3.2,7.9,8.0,3.9,4.4,-0.0759,0.115,-0.1893,-0.0501,-0.1893,DECLINING
John Hayden,SEA,C,32,0,0.7518,0.7422,2.1,2.7,2.3,2.5,5.7,6.1,5.6,6.3,5.2,6.3,5.9,5.5,5.5,5.5,4.0,4.4,,,,,,
Kirby Dach,MTL,C,154,3,0.7575,0.7303,5.4,3.6,5.1,3.9,7.6,7.7,4.0,4.7,6.4,6.0,5.4,5.4,6.6,6.5,4.2,4.4,,,0.0856,0.0856,0.0856,RISING
Connor McMichael,WSH,C,246,3,0.7657,0.7397,6.7,4.8,6.5,5.5,7.6,7.2,6.4,6.4,6.4,5.5,6.2,6.3,6.8,6.6,4.5,4.4,,0.1316,-0.2297,-0.049,-0.2297,DECLINING
Elmer Soderblom,PIT,L,106,3,0.7584,0.7257,5.8,5.4,5.7,5.8,5.0,4.5,5.0,4.8,6.0,4.9,4.1,4.3,6.9,6.9,4.2,4.4,,,0.2146,0.2146,0.2146,RISING
Phil Kessel,VGK,C,82,1,0.7508,0.7595,6.6,3.8,6.5,5.0,3.9,4.2,0.6,1.5,4.7,5.4,6.2,6.0,4.6,4.6,4.1,4.4,,,,,,
Patrick Brown,BOS,C,87,1,0.7523,0.7124,6.4,4.8,6.0,5.1,5.1,5.4,6.2,6.7,6.5,6.6,4.4,4.2,7.0,7.1,3.9,4.4,,,,,,
Juho Lammikko,NJD,C,24,1,0.7512,0.7951,5.1,5.1,4.9,5.1,4.5,4.1,4.3,4.2,5.0,4.0,6.1,6.3,2.6,2.6,4.2,4.4,,,,,,
Matthew Highmore,OTT,C,50,1,0.7553,0.7579,3.6,5.1,3.3,4.1,2.8,3.0,4.2,4.6,2.9,3.5,4.2,4.0,4.9,4.9,4.2,4.4,,,,,,
Colin White,SJS,C,99,2,0.7558,0.7441,6.7,4.4,6.6,5.5,6.0,6.3,5.3,5.9,5.1,4.9,5.2,5.2,5.8,5.8,4.2,4.4,-0.2506,,,-0.2506,,
Jansen Harkins,ANA,C,173,4,0.7593,0.7173,4.5,3.7,4.3,3.7,6.8,6.7,7.7,7.8,6.8,5.9,4.6,4.7,7.4,7.3,4.2,4.4,-0.1403,0.2042,0.0561,0.04,0.0561,RISING
Christian Fischer,CBJ,R,205,3,0.7574,0.7211,7.0,5.1,7.0,6.2,5.3,5.2,7.4,7.4,5.6,5.6,4.0,4.0,7.0,7.0,4.1,4.4,0.0073,-0.1499,,-0.0713,-0.1499,DECLINING
Daniel Sprong,NJD,R,172,3,0.7544,0.7328,6.7,5.2,6.5,5.9,4.7,5.0,5.4,5.9,6.5,7.0,5.0,4.7,6.2,6.2,4.1,4.4,0.0422,-0.0096,,0.0163,-0.0096,STABLE
Josh Bailey,NYI,R,64,1,0.7544,0.7476,7.6,4.2,7.5,5.8,3.5,3.3,2.3,2.5,5.5,5.8,6.7,6.5,5.5,5.4,4.1,4.4,,,,,,
Lane Pederson,PHI,C,32,1,0.7431,0.7229,4.2,1.9,4.2,2.6,4.9,5.2,4.9,5.4,6.3,6.5,4.9,4.7,5.5,5.7,3.6,4.3,,,,,,
John Tavares,TOR,C,317,4,0.7653,0.7273,7.9,5.4,7.7,6.7,7.4,6.9,5.7,5.7,7.0,6.3,5.7,5.8,7.4,7.2,4.4,4.3,0.2629,-0.0734,-0.0621,0.0425,-0.0621,DECLINING
Julien Gauthier,NYI,R,85,2,0.7525,0.7453,7.8,5.7,7.6,6.8,6.2,6.6,7.5,8.0,4.5,4.7,5.5,5.4,5.2,5.2,4.0,4.3,-0.2202,,,-0.2202,,
Fraser Minten,BOS,C,107,2,0.7538,0.7281,5.7,5.0,5.4,5.1,5.6,5.2,5.3,5.2,7.0,6.4,5.7,5.7,6.3,6.3,4.0,4.3,,,0.4917,0.4917,0.4917,RISING
Ivan Miroshnichenko,WSH,L,52,1,0.75,0.7346,4.7,4.0,4.5,4.2,3.2,3.0,2.0,2.3,5.1,5.4,5.3,5.1,5.5,5.6,3.9,4.3,,,,,,
Adam Klapka,CGY,R,115,2,0.7436,0.7216,5.0,5.4,4.8,5.2,7.0,7.2,7.0,7.4,6.9,6.6,4.4,4.3,5.5,5.7,3.6,4.3,,,0.2129,0.2129,0.2129,RISING
Oskar Steen,BOS,C,37,1,0.7615,0.7426,,,,,5.1,5.1,6.4,6.7,5.5,4.9,4.3,4.4,6.1,6.0,4.3,4.3,,,,,,
Jake Leschyshyn,NYR,C,36,1,0.7261,0.7204,5.7,2.8,5.4,3.6,3.0,4.6,2.6,4.5,3.7,6.0,4.8,4.1,4.0,4.5,3.0,4.3,,,,,,
Adam Fantilli,CBJ,C,213,3,0.7652,0.7258,7.3,5.7,7.3,6.8,7.1,6.7,5.1,5.1,7.2,6.3,5.2,5.3,7.4,7.3,4.4,4.3,,0.0463,-0.0614,-0.0076,-0.0614,DECLINING
Gabe Perreault,NYR,R,54,1,0.7526,0.7476,5.8,4.7,6.0,5.8,3.6,2.6,4.4,3.7,5.1,4.4,4.6,4.7,5.0,5.0,4.0,4.3,,,,,,
Matt Nieto,PIT,L,135,3,0.7536,0.726,6.4,3.7,6.2,4.7,5.7,5.9,5.4,5.9,4.4,4.9,3.2,3.0,6.3,6.3,4.0,4.3,-0.2384,0.0381,,-0.1001,0.0381,STABLE
Vitali Kravtsov,VAN,R,44,1,0.7515,0.7367,5.4,3.4,5.6,4.5,4.1,4.3,5.9,6.2,6.0,6.6,5.1,4.8,5.6,5.6,4.0,4.3,,,,,,
Andre Burakovsky,CHI,L,252,4,0.759,0.72,7.2,5.3,7.0,6.2,7.0,6.6,7.0,6.8,7.4,6.9,5.8,5.7,7.1,7.1,4.1,4.3,-0.0102,0.1896,-0.2449,-0.0218,-0.2449,DECLINING
Kaapo Kakko,SEA,R,286,4,0.764,0.7297,8.1,5.8,7.9,7.0,7.2,6.9,7.0,6.9,6.0,5.4,4.8,4.9,7.0,6.8,4.3,4.3,-0.0958,0.1788,-0.1419,-0.0196,-0.1419,DECLINING
