rank,player_id,player_name,position,team_recent,n_seasons,toi_total,NFI_pct,NFI_pct_ZA,NFI_pct_3A,CF_pct,CF_pct_ZA,RelNFI_pct,RelNFI_F_pct,RelNFI_A_pct,NFQOC,NFQOL,oz_ratio,NFI_pct_3A_MOM_3yr,rank_NFI_ZA,rank_CF_ZA,rank_change
102,8480113,Alex Iafallo,F,WPG,4,4030.683333,0.540796,0.532934,0.523899,0.529749,0.521887,1.326544,-0.707365,2.03391,0.501413,0.509511,0.522463,0.008301,133,120,-13
103,8483808,Andrei Kuzmenko,F,LAK,4,3752.483333,0.529151,0.498392,0.499807,0.49982,0.469062,1.319093,0.13616,1.182933,0.500234,0.495998,0.587882,-0.006154,313,520,207
104,8475726,Tyler Toffoli,F,SJS,4,4707.666667,0.516268,0.493461,0.504854,0.507122,0.484315,1.307181,0.087135,1.220046,0.498788,0.475655,0.565162,-0.038681,347,434,87
105,8482109,Alexis Lafrenière,F,NYR,4,4928.316667,0.512313,0.46386,0.474241,0.500348,0.451895,1.302755,1.80723,-0.504475,0.501511,0.4777,0.638436,0.030346,495,560,65
106,8473512,Claude Giroux,F,OTT,4,5412.766667,0.532231,0.521126,0.512093,0.517467,0.506363,1.292592,-0.339312,1.631904,0.502629,0.509469,0.531728,-0.005309,188,231,43
107,8481557,Matt Boldy,F,MIN,4,5461.616667,0.535764,0.533706,0.53171,0.518069,0.516011,1.290937,-0.303273,1.59421,0.501063,0.499473,0.50588,-0.017289,131,155,24
108,8481605,Jackson LaCombe,D,ANA,3,4165.466667,0.480815,0.491795,0.51309,0.504781,0.515761,1.29087,-0.312348,1.603218,0.500896,0.457655,0.468629,,354,158,-196
109,8475754,Brock Nelson,F,COL,4,5411.683333,0.528066,0.511817,0.49535,0.501779,0.48553,1.28392,0.015855,1.268065,0.499953,0.522014,0.546427,0.026289,233,421,188
110,8482667,William Eklund,F,SJS,3,3829.316667,0.451303,0.464223,0.504204,0.488121,0.50104,1.282305,-0.985298,2.267603,0.501218,0.429864,0.463087,,491,284,-207
111,8475188,Brayden McNabb,D,VGK,4,5695.116667,0.553149,0.551766,0.529473,0.511558,0.510174,1.271362,0.833485,0.437877,0.499115,0.530716,0.503953,-0.003381,54,197,143
112,8477404,Jake Guentzel,F,TBL,4,5543.816667,0.539326,0.503614,0.489375,0.505005,0.469292,1.257984,0.830242,0.427742,0.500487,0.518204,0.602035,-0.012212,282,517,235
113,8477942,Kevin Fiala,F,LAK,4,4679.25,0.552449,0.544266,0.529864,0.529912,0.52173,1.255458,0.284683,0.970775,0.500456,0.521117,0.52338,-0.009283,81,122,41
114,8474590,John Carlson,D,WSH,4,5864.233333,0.518255,0.508433,0.508763,0.512038,0.502216,1.251154,-0.740387,1.991541,0.502543,0.493984,0.528064,0.007965,256,273,17
115,8479675,Trevor Moore,F,LAK,4,4404.25,0.552382,0.556543,0.544411,0.544542,0.548704,1.245829,0.167446,1.078384,0.49976,0.51659,0.48811,0.001219,36,29,-7
116,8480015,Owen Tippett,F,PHI,4,4682.833333,0.531646,0.513213,0.509401,0.529831,0.511398,1.238892,0.784016,0.454876,0.5009,0.503638,0.552666,0.018821,223,183,-40
117,8475810,Bryan Rust,F,PIT,4,4927.433333,0.528612,0.488952,0.479532,0.505899,0.46624,1.201199,0.050455,1.150744,0.505593,0.506576,0.613313,-0.006679,370,534,164
118,8473419,Brad Marchand,F,FLA,4,4686.983333,0.526194,0.515725,0.50216,0.494734,0.484265,1.193652,-0.174479,1.368131,0.506458,0.511503,0.529911,-0.0165,215,435,220
119,8481617,Vasily Podkolzin,F,EDM,4,2469.016667,0.547473,0.526376,0.513244,0.534832,0.513736,1.191616,1.48659,-0.294974,0.499302,0.521799,0.560275,-0.004995,161,169,8
120,8479400,Pierre-Luc Dubois,F,WSH,4,4396.366667,0.531011,0.522292,0.517221,0.525875,0.517156,1.190192,0.892508,0.297684,0.497155,0.506982,0.524912,-0.016428,184,148,-36
121,8476483,Rickard Rakell,F,PIT,4,4987.15,0.527638,0.481563,0.472979,0.495216,0.449141,1.169944,0.196335,0.973608,0.503316,0.506133,0.631642,0.003835,414,564,150
122,8478463,Anthony Beauvillier,F,WSH,4,3956.166667,0.499903,0.495371,0.495554,0.492472,0.487941,1.162865,1.407208,-0.244343,0.498767,0.498187,0.512946,-0.018596,333,398,65
123,8475200,Dmitry Orlov,D,SJS,4,5435.816667,0.531348,0.521353,0.512838,0.511099,0.501104,1.154261,1.344189,-0.189928,0.498907,0.50785,0.528555,0.016898,187,283,96
124,8481546,Cam York,D,PHI,4,5209.733333,0.534595,0.534035,0.52266,0.524348,0.523788,1.147736,0.249829,0.897907,0.500592,0.515125,0.501602,-0.007218,127,109,-18
125,8477969,Marcus Pettersson,D,VAN,4,5938.733333,0.505775,0.522381,0.525749,0.500582,0.517188,1.145649,1.540515,-0.394866,0.502726,0.48879,0.452555,-0.013729,183,147,-36
126,8477450,Jason Dickinson,F,CHI,4,4171.333333,0.428151,0.473626,0.51902,0.480448,0.525923,1.144126,-1.61633,2.760456,0.505061,0.424848,0.370072,0.006345,456,104,-352
127,8473422,Nick Foligno,F,CHI,4,3687.6,0.458636,0.499249,0.52839,0.486018,0.52663,1.132449,-1.204734,2.337183,0.502894,0.443314,0.383964,0.020102,309,100,-209
128,8477948,Travis Sanheim,D,PHI,4,6769.4,0.530245,0.538622,0.533045,0.51905,0.527427,1.108334,0.587258,0.521077,0.503165,0.504605,0.476065,0.037427,107,96,-11
129,8475764,Cam Fowler,D,STL,4,6406.366667,0.462627,0.463438,0.503189,0.47288,0.473691,1.103479,0.050647,1.052832,0.502685,0.437642,0.497682,0.011159,498,491,-7
130,8481716,Dmitri Voronkov,F,CBJ,3,2634.583333,0.499618,0.464031,0.477656,0.499577,0.46399,1.101212,1.815964,-0.714752,0.502563,0.474236,0.601677,,493,539,46
131,8476438,Brandon Saad,F,VGK,4,3820.216667,0.490728,0.497412,0.514526,0.492615,0.499299,1.100144,1.436145,-0.336001,0.49998,0.473267,0.480902,-0.007019,319,298,-21
132,8471215,Evgeni Malkin,F,PIT,4,4703.366667,0.526469,0.473521,0.462725,0.504503,0.451556,1.094633,0.222047,0.872586,0.501633,0.511312,0.65128,0.00923,457,561,104
133,8476880,Tom Wilson,F,WSH,4,4313.7,0.519423,0.507559,0.511027,0.512092,0.500229,1.089288,-1.32956,2.418848,0.502194,0.492823,0.533895,0.051275,259,290,31
134,8476479,Phillip Danault,F,MTL,4,4946.083333,0.545367,0.555384,0.539246,0.542965,0.552982,1.082308,0.024377,1.057931,0.501685,0.521334,0.471381,0.002855,44,19,-25
135,8482077,Dylan Holloway,F,STL,4,2906.25,0.548601,0.533931,0.520783,0.499706,0.485036,1.08032,0.416509,0.663812,0.49666,0.516801,0.541916,-0.002694,128,428,300
136,8475151,Kyle Palmieri,F,NYI,3,3804.35,0.516252,0.501263,0.495574,0.495435,0.480446,1.079637,0.558837,0.520799,0.500982,0.504673,0.542826,,297,461,164
137,8480049,Dylan Samberg,D,WPG,4,4337.25,0.525312,0.534845,0.530802,0.526253,0.535787,1.076517,0.566952,0.509565,0.502701,0.501866,0.472761,-0.004337,123,52,-71
138,8478178,Darren Raddysh,D,TBL,4,4154.333333,0.537376,0.51127,0.501909,0.502386,0.47628,1.041865,1.508172,-0.466307,0.497766,0.511967,0.574589,0.055812,239,476,237
