shooting_player_id,player_name,total_es_attempts,netfront_attempts,netfront_attempt_rate,nf_rate_ci_lo,nf_rate_ci_hi,netfront_goals,netfront_goal_rate,confirmed_netfront
8478413,Jordan Greenway,124,22,0.1774,0.1202,0.254,2,0.0909,False
8481557,Matt Boldy,390,69,0.1769,0.1423,0.2179,8,0.1159,False
8474189,Lars Eller,238,42,0.1765,0.1333,0.2299,2,0.0476,False
8482667,William Eklund,258,45,0.1744,0.133,0.2254,7,0.1556,False
8481624,Ilya Mikheyev,287,50,0.1742,0.1347,0.2223,7,0.14,False
8475798,Mikael Granlund,230,40,0.1739,0.1304,0.2281,10,0.25,False
8480797,Joel Farabee,311,54,0.1736,0.1356,0.2196,10,0.1852,False
8481032,Paul Cotter,185,32,0.173,0.1253,0.234,5,0.1562,False
8482149,Cole Perfetti,272,47,0.1728,0.1325,0.2222,9,0.1915,False
8479542,Brandon Hagel,395,68,0.1722,0.1381,0.2125,15,0.2206,False
8476438,Brandon Saad,244,42,0.1721,0.1299,0.2245,4,0.0952,False
8471214,Alex Ovechkin,367,63,0.1717,0.1365,0.2136,10,0.1587,False
8477407,Anthony Duclair,169,29,0.1716,0.1222,0.2356,3,0.1034,False
8479318,Auston Matthews,467,80,0.1713,0.1398,0.2081,7,0.0875,False
8480448,Parker Kelly,216,37,0.1713,0.1269,0.2272,6,0.1622,False
8477935,Sam Bennett,368,63,0.1712,0.1362,0.213,16,0.254,False
8473512,Claude Giroux,269,46,0.171,0.1307,0.2206,8,0.1739,False
8482159,Tyson Foerster,217,37,0.1705,0.1263,0.2262,3,0.0811,False
8479525,Ross Colton,319,54,0.1693,0.1321,0.2143,3,0.0556,False
8476469,Joel Armia,208,35,0.1683,0.1235,0.225,4,0.1143,False
8477070,Liam O'Brien,107,18,0.1682,0.1091,0.2503,2,,False
8480848,Ty Dellandrea,119,20,0.1681,0.1115,0.2454,1,0.05,False
8477949,Alex Tuch,339,57,0.1681,0.1321,0.2116,21,0.3684,False
8477402,Pavel Buchnevich,280,47,0.1679,0.1286,0.2161,5,0.1064,False
8473986,Alex Killorn,251,42,0.1673,0.1262,0.2184,3,0.0714,False
8481528,Dylan Cozens,349,58,0.1662,0.1308,0.2088,6,0.1034,False
8476927,Teddy Blueger,187,31,0.1658,0.1193,0.2257,3,0.0968,False
8476458,Ryan Strome,206,34,0.165,0.1206,0.2218,8,0.2353,False
8478366,Frank Vatrano,352,58,0.1648,0.1297,0.2071,8,0.1379,False
8479987,Morgan Geekie,292,48,0.1644,0.1263,0.2112,14,0.2917,False
8478975,Mason Marchment,286,47,0.1643,0.1259,0.2117,6,0.1277,False
8477933,Sam Reinhart,264,43,0.1629,0.1232,0.2122,6,0.1395,False
8482146,Luke Evangelista,314,51,0.1624,0.1257,0.2073,7,0.1373,False
8481522,Peyton Krebs,191,31,0.1623,0.1168,0.2212,5,0.1613,False
