shooting_player_id,total_es_attempts,rebound_attempts,rebound_attempt_rate,reb_rate_ci_lo,reb_rate_ci_hi,rebound_goals,rebound_sh_pct,confirmed_netfront,rank_by_rate,rank_by_goals
8482177,92,7,0.0761,0.0373,0.1488,0,,False,222,485
8482768,92,7,0.0761,0.0373,0.1488,1,,False,222,325
8482113,276,21,0.0761,0.0503,0.1135,5,0.2381,False,222,42
8479293,158,12,0.0759,0.044,0.1281,1,0.0833,False,225,325
8477501,264,20,0.0758,0.0496,0.1141,5,0.25,False,226,42
8471817,53,4,0.0755,0.0297,0.1786,0,,False,227,485
8483609,106,8,0.0755,0.0387,0.1419,1,,False,227,325
8481133,53,4,0.0755,0.0297,0.1786,1,,False,227,325
8475151,252,19,0.0754,0.0488,0.1147,7,0.3684,False,230,10
8482745,279,21,0.0753,0.0498,0.1123,3,0.1429,False,231,130
8478474,307,23,0.0749,0.0504,0.1099,1,0.0435,False,232,325
8477070,107,8,0.0748,0.0384,0.1406,1,,False,233,325
8480028,241,18,0.0747,0.0478,0.115,2,0.1111,False,234,215
8474586,242,18,0.0744,0.0476,0.1145,3,0.1667,False,235,130
8473994,242,18,0.0744,0.0476,0.1145,2,0.1111,False,235,215
8476856,121,9,0.0744,0.0396,0.1353,1,,False,235,325
8476880,256,19,0.0742,0.048,0.113,6,0.3158,False,238,23
8480002,283,21,0.0742,0.049,0.1108,4,0.1905,False,238,83
8484387,216,16,0.0741,0.0461,0.1169,1,0.0625,False,240,325
8476918,108,8,0.0741,0.038,0.1394,2,,False,240,215
8484164,54,4,0.0741,0.0292,0.1755,0,,False,240,485
8479944,95,7,0.0737,0.0361,0.1444,0,,False,243,485
8481618,163,12,0.0736,0.0426,0.1243,1,0.0833,False,244,325
8475763,177,13,0.0734,0.0434,0.1216,1,0.0769,False,245,325
8478569,191,14,0.0733,0.0442,0.1193,1,0.0714,False,246,325
8475810,341,25,0.0733,0.0501,0.106,1,0.04,False,246,325
8477456,191,14,0.0733,0.0442,0.1193,2,0.1429,False,246,215
8482125,164,12,0.0732,0.0423,0.1235,3,0.25,False,249,130
8478519,260,19,0.0731,0.0473,0.1113,6,0.3158,False,250,23
8478493,276,20,0.0725,0.0474,0.1093,4,0.2,False,251,83
8480078,138,10,0.0725,0.0398,0.1283,2,0.2,False,251,215
8477500,375,27,0.072,0.05,0.1027,5,0.1852,False,253,42
8476454,265,19,0.0717,0.0464,0.1093,3,0.1579,False,254,130
8477380,168,12,0.0714,0.0413,0.1207,3,0.25,False,255,130
8477931,70,5,0.0714,0.0309,0.1566,0,,False,255,485
8477987,294,21,0.0714,0.0472,0.1067,10,0.4762,False,255,1
8477444,197,14,0.0711,0.0428,0.1157,2,0.1429,False,258,215
8484227,183,13,0.071,0.042,0.1177,5,0.3846,False,259,42
8477407,169,12,0.071,0.0411,0.12,2,0.1667,False,259,215
