player_name,player_id,team_2526,offensive_composite,defensive_score,twoway_composite,rush_against_per60,ci_confirmed,trend,total_toi_mins,sample_confidence
Derek Forbort,8475762,VAN,0.0000,0.3554,0.1421,29.7311,,,5527.5500,High
Troy Stecher,8479442,TOR,0.0000,0.3482,0.1393,29.8756,,,5398.3833,High
John Beecher,8481556,CGY,0.0000,0.3479,0.1391,29.8833,,,1752.8167,Low
Ryan Graves,8477435,PIT,0.0000,0.3461,0.1384,29.9187,,,6916.7333,High
Cole Koepke,8481043,WPG,0.0000,0.3445,0.1378,29.9521,,,1452.3167,Low
Freddy Gaudreau,8477919,EDM,0.0000,0.3437,0.1375,29.9666,,,6098.8000,High
Scott Mayfield,8476429,NYI,0.0000,0.3392,0.1357,30.0588,,,7203.8833,High
Alexandre Texier,8480074,MTL,0.0000,0.3360,0.1344,30.1223,,,3324.4500,High
Jake McCabe,8476931,CAR,0.0000,0.3352,0.1341,30.1399,,,8016.6167,High
Vladislav Gavrikov,8478882,NYR,0.0000,0.3348,0.1339,30.1486,,,9443.2333,High
Ilya Lyubushkin,8480950,DAL,0.0000,0.3299,0.1319,30.2476,,,6547.9667,High
Henry Thrun,8481567,TOR,0.0000,0.3118,0.1247,30.6129,,,2220.6333,Medium
Cody Ceci,8476879,LAK,0.0000,0.2994,0.1198,30.8636,,,9982.6333,High
Jan Rutta,8480172,STL,0.0000,0.2988,0.1195,30.8761,,,5588.7833,High
Jake Christiansen,8481161,WSH,0.0000,0.2983,0.1193,30.8877,,,1635.6000,Low
Beck Malenstyn,8479359,BUF,0.0000,0.2942,0.1177,30.9701,,,2749.1000,Medium
Jake Middleton,8478136,MIN,0.0000,0.2896,0.1158,31.0628,,,6944.0000,High
Ben Chiarot,8475279,DET,0.0000,0.2855,0.1142,31.1458,,,9148.5833,High
Simon Benoit,8481122,TOR,0.0000,0.2789,0.1116,31.2800,,,5773.6500,High
Brandon Carlo,8478443,NJD,0.0000,0.2691,0.1076,31.4780,,,8037.9833,High
Mattias Samuelsson,8480807,BUF,0.0000,0.2592,0.1037,31.6788,,,5377.1000,High
David Savard,8475233,MTL,0.0000,0.2363,0.0945,32.1418,,,6503.6833,High
Travis Hamonic,8474612,NJD,0.0000,0.2339,0.0936,32.1913,,,4801.3000,High
Mario Ferraro,8479983,DAL,0.0000,0.2216,0.0886,32.4407,,,8833.3500,High
Andrew Peeke,8479369,NJD,0.0000,0.2072,0.0829,32.7313,,,6582.6833,High
Luke Kunin,8479316,FLA,0.0000,0.1909,0.0764,33.0616,,,5052.3833,High
Erik Gudbranson,8475790,WSH,0.0000,0.1786,0.0714,33.3115,,,6215.8667,High
