rank_2526,player_name,player_id,team,es,nf,nf_rate,nf_goals,reb_shots,goal_rate,ci_lo,ci_hi,avg_x,avg_y,avg_gap,pos_dist,norm_gr,norm_gap,norm_pos,composite,ci_confirmed
84,Viktor Arvidsson,8478042,BOS,295,50,0.1694915254237288,8,20,0.4,0.21880396741419272,0.613422057684794,83.22,1.64,1.8,3.613585477057377,0.385239852398524,0.47006369426751593,0.10198776453497849,0.3257,True
85,Barrett Hayton,8480849,UTA,170,51,0.3,1,17,0.058823529411764705,0.01046013064516424,0.269825452035628,81.66666666666667,1.196078431372549,1.7058823529411764,2.051433984258916,0.0,0.5563881603596854,0.5141278490750967,0.3212,False
86,Boone Jenner,8476432,CBJ,234,57,0.24358974358974358,7,22,0.3181818181818182,0.1636038735469248,0.5268177721716065,83.19298245614036,-0.9649122807017544,1.7727272727272727,3.335594800731822,0.29285474672928546,0.49507817023740597,0.17532962758113835,0.3183,True
87,Kirill Marchenko,8480893,CBJ,309,35,0.11326860841423948,3,15,0.2,0.07047420643610414,0.4518593533465045,81.65714285714286,2.657142857142857,1.6666666666666667,3.1315380585656154,0.15940959409594097,0.5923566878980892,0.22916561170627814,0.3102,False
88,Vladimir Tarasenko,8475765,MIN,195,33,0.16923076923076924,3,15,0.2,0.07047420643610414,0.4518593533465045,82.15151515151516,-1.1515151515151516,1.8666666666666667,2.4402878091258513,0.15940959409594097,0.4089171974522293,0.41153712788498276,0.3099,False
89,Drake Batherson,8480208,OTT,235,52,0.22127659574468084,9,16,0.5625,0.33178195606776517,0.7690163666481448,82.36538461538461,1.8461538461538463,2.3125,3.0005546824490392,0.5687269372693727,0.0,0.26372275930361455,0.3066,True
90,Alex DeBrincat,8479337,DET,392,38,0.09693877551020408,4,23,0.17391304347826086,0.06978540350612772,0.37138054785295666,82.6842105263158,1.0789473684210527,1.7826086956521738,2.8929420273153124,0.12995347344777797,0.4860149543062865,0.29211404464876944,0.2854,False
91,Anders Lee,8475314,NYI,288,114,0.3958333333333333,6,33,0.18181818181818182,0.08610651225698263,0.3438856704929522,83.89473684210526,-0.9122807017543859,1.4848484848484849,4.000153890545404,0.13887957061388798,0.7591198610306891,0.0,0.2833,False
92,Michael McCarron,8477446,NSH,190,65,0.34210526315789475,4,18,0.2222222222222222,0.09000781913382,0.4521502645230549,83.44615384615385,0.5538461538461539,1.7222222222222223,3.4903756092276286,0.18450184501845016,0.5414012738853502,0.13449403910413815,0.2766,False
93,Jake DeBrusk,8478498,VAN,224,54,0.24107142857142858,2,15,0.13333333333333333,0.0373604698913593,0.3788249920651624,82.16666666666667,-1.5740740740740742,1.9333333333333333,2.678087682492233,0.08413284132841328,0.3477707006369427,0.34879874408247524,0.2426,False
