season,team,pillars,p_nf,p_sv,p_ga,nf_rate,save_pct,ga_pg,points_pct,gp,playoff_depth
20222023,SJS,1,True,False,False,0.16348600508905853,0.8773975178638586,3.975609756097561,0.3659,82,missed_playoffs
20212022,MIN,0,False,False,False,0.13298097251585625,0.9012726571538758,3.1219512195121952,0.689,82,R1_exit
20202021,WSH,0,False,False,False,0.133,0.8990769230769231,2.9285714285714284,0.6875,56,R1_exit
20222023,LAK,0,False,False,False,0.14425574425574425,0.8871595330739299,3.182926829268293,0.6341,82,R1_exit
20212022,WSH,0,False,False,False,0.13704945515507125,0.8952618453865336,3.073170731707317,0.6098,82,R1_exit
20222023,SEA,0,False,False,False,0.13953983809118023,0.8837000449034575,3.158536585365854,0.6098,82,R2_exit
20232024,TBL,0,False,False,False,0.13654946852003272,0.889389594428513,3.292682926829268,0.5976,82,R1_exit
20232024,VGK,0,False,False,False,0.13518733101583624,0.9008,3.024390243902439,0.5976,82,R1_exit
20242025,MIN,0,False,False,False,0.12881915772089184,0.9009009009009009,2.951219512195122,0.5915,82,R1_exit
20242025,CGY,0,False,False,False,0.12185534591194969,0.8986599664991625,2.951219512195122,0.5854,82,missed_playoffs
20232024,NYI,0,False,False,False,0.14438912294140177,0.9010339734121122,3.268292682926829,0.5732,82,R1_exit
20222023,CGY,0,False,False,False,0.1444616576297444,0.8859920459566947,3.1463414634146343,0.5671,82,missed_playoffs
20202021,STL,0,False,False,False,0.11023622047244094,0.8972073677956031,3.0892857142857144,0.5625,56,R1_exit
20232024,DET,0,False,False,False,0.12215150893040444,0.8971085242208036,3.341463414634146,0.5549,82,missed_playoffs
20232024,WSH,0,False,False,False,0.1497393117831074,0.8964017398181099,3.1951219512195124,0.5549,82,R1_exit
20242025,MTL,0,False,False,False,0.12962580111639446,0.8881935753024615,3.268292682926829,0.5549,82,R1_exit
20242025,VAN,0,False,False,False,0.13561166739225075,0.8843721770551038,3.1219512195121952,0.5488,82,missed_playoffs
20242025,CBJ,0,False,False,False,0.13615400040104272,0.8909164639091647,3.2804878048780486,0.5427,82,missed_playoffs
20242025,UTA,0,False,False,False,0.13365155131264916,0.889763779527559,3.073170731707317,0.5427,82,missed_playoffs
20232024,MIN,0,False,False,False,0.14223454833597465,0.8916496945010184,3.2439024390243905,0.5305,82,missed_playoffs
20232024,PHI,0,False,False,False,0.13343055049216188,0.8821954484605087,3.2195121951219514,0.5305,82,missed_playoffs
20202021,MTL,0,False,False,False,0.13105229180116204,0.8927899686520376,3.0535714285714284,0.5268,56,Final_loss
20242025,DET,0,False,False,False,0.13070539419087138,0.8889837745516652,3.1707317073170733,0.5244,82,missed_playoffs
20242025,NYR,0,False,False,False,0.13511326860841424,0.8960880195599021,3.1097560975609757,0.5183,82,missed_playoffs
