player_id,player_name,pos,team,seasons_covered,scenario,games_played,total_5v5_toi_minutes,toi_per_game,oz_faceoff_shifts,oz_faceoff_shifts_per_game,dz_faceoff_shifts,dz_faceoff_shifts_per_game,nz_faceoff_shifts,player_OZ_retention_pct,player_DZ_time_pct,player_DZ_escape_rate_pct,OUER,DUER,OAER,DAER,NZ_ratio
8480075,Cameron Crotty,D,OTT,"2023-24, 2024-25, 2025-26",pooled,8,96.27,12.033,7,0.875,10,1.25,18,,,,,,,,
8480776,Sheldon Rempal,R,VGK,"2022-23, 2023-24",pooled,10,92.8,9.28,13,1.3,8,0.8,23,,,,,,,,
8483452,Hunter Haight,C,MIN,2025-26,pooled,9,92.47,10.274,13,1.444,7,0.778,13,,,,,,,,
8478173,Hayden Hodgson,R,OTT,"2022-23, 2024-25, 2025-26",pooled,13,91.58,7.045,13,1.0,6,0.462,25,,,,,,,,
8481569,Marshall Warren,D,NYI,2025-26,pooled,8,89.52,11.19,20,2.5,9,1.125,22,,,,,,,,
8482784,Zach Dean,C,STL,2023-24,pooled,9,88.0,9.778,16,1.778,3,0.333,16,,,,,,,,
8483549,Lucas Condotta,C,MTL,"2022-23, 2023-24, 2024-25",pooled,11,87.27,7.933,16,1.455,10,0.909,17,,,,,,,,
8483728,Jared Davidson,C,MTL,2025-26,pooled,10,86.95,8.695,12,1.2,8,0.8,17,,,,,,,,
8471794,Darren Helm,C,COL,2022-23,pooled,12,86.18,7.182,7,0.583,22,1.833,17,,,,,,,,
8476948,Charles Hudon,L,COL,2022-23,pooled,9,85.85,9.539,10,1.111,5,0.556,15,,,,,,,,
8482802,Carter Mazur,L,DET,"2024-25, 2025-26",pooled,9,85.72,9.524,10,1.111,22,2.444,20,,,,,,,,
8481649,Joona Luoto,L,CBJ,2022-23,pooled,7,84.23,12.033,16,2.286,16,2.286,19,,,,,,,,
8478455,Austin Wagner,L,CHI,2022-23,pooled,7,84.12,12.017,7,1.0,9,1.286,22,,,,,,,,
8480037,Aleksi Heponiemi,C,FLA,2022-23,pooled,10,84.07,8.407,15,1.5,9,0.9,21,,,,,,,,
8482102,Vasily Ponomarev,C,PIT,"2023-24, 2024-25",pooled,9,82.28,9.143,4,0.444,11,1.222,15,,,,,,,,
8482169,Helge Grans,D,PHI,2024-25,pooled,6,82.28,13.714,8,1.333,9,1.5,20,,,,,,,,
8484255,Jason Polin,R,COL,"2023-24, 2024-25, 2025-26",pooled,12,81.77,6.814,7,0.583,10,0.833,26,,,,,,,,
8481070,Hugh McGing,L,STL,"2022-23, 2023-24, 2025-26",pooled,9,80.55,8.95,9,1.0,7,0.778,19,,,,,,,,
8478491,Jacob Larsson,D,OTT,2022-23,pooled,7,80.18,11.455,12,1.714,19,2.714,21,,,,,,,,
8484779,Jett Luchanko,C,PHI,"2024-25, 2025-26",pooled,8,78.52,9.815,10,1.25,5,0.625,18,,,,,,,,
8482731,Tyson Hinds,D,ANA,2025-26,pooled,5,77.55,15.51,7,1.4,4,0.8,17,,,,,,,,
8479465,Drake Caggiula,C,EDM,"2022-23, 2024-25",pooled,11,76.62,6.965,12,1.091,8,0.727,21,,,,,,,,
8480439,Mac Hollowell,D,TOR,2022-23,pooled,6,75.38,12.564,7,1.167,8,1.333,7,,,,,,,,
8484256,Jake Livingstone,D,NSH,2022-23,pooled,5,75.27,15.053,9,1.8,12,2.4,11,,,,,,,,
8482162,Roby Jarventie,L,EDM,"2023-24, 2025-26",pooled,10,75.1,7.51,22,2.2,4,0.4,22,,,,,,,,
8482081,Sean Farrell,C,MTL,2022-23,pooled,6,75.07,12.511,10,1.667,7,1.167,17,,,,,,,,
8480291,Skyler Brind'Amour,C,CAR,"2024-25, 2025-26",pooled,6,74.88,12.481,16,2.667,5,0.833,17,,,,,,,,
8482953,Taylor Makar,L,COL,2025-26,pooled,12,74.52,6.21,15,1.25,6,0.5,16,,,,,,,,
8478506,Gabriel Carlsson,D,WSH,2022-23,pooled,6,74.48,12.414,3,0.5,21,3.5,18,,,,,,,,
8483687,Marek Alscher,D,FLA,2025-26,pooled,4,73.83,18.458,7,1.75,10,2.5,17,,,,,,,,
8476851,Alex Galchenyuk,C,COL,2022-23,pooled,11,73.12,6.647,9,0.818,11,1.0,13,,,,,,,,
8477981,Roland McKeown,D,NSH,2022-23,pooled,6,72.78,12.131,11,1.833,11,1.833,16,,,,,,,,
8484406,Ty Mueller,C,VAN,"2024-25, 2025-26",pooled,7,72.33,10.333,13,1.857,10,1.429,13,,,,,,,,
8476391,T.J. Tynan,C,COL,"2024-25, 2025-26",pooled,10,70.12,7.012,9,0.9,8,0.8,15,,,,,,,,
